timestamp_utc,total_heat_MW,unserved_MW,CB4_MW,EB1_MW,EB2_MW,EB3_MW
2028-01-01T00:00:00Z,105.40722596990943,0.0,35.13574198996981,17.567870994984904,26.35180649247736,26.35180649247736
2028-01-01T01:00:00Z,104.74122093710685,0.0,34.913740312368944,17.456870156184472,26.18530523427671,26.18530523427671
2028-01-01T02:00:00Z,105.56557732755248,0.0,35.18852577585082,17.59426288792541,26.39139433188812,26.39139433188812
2028-01-01T03:00:00Z,107.02697406600817,1.4210854715202004e-14,35.67565802200272,17.83782901100136,26.756743516502045,26.756743516502045
2028-01-01T04:00:00Z,105.70840819106928,1.4210854715202004e-14,35.23613606368976,17.61806803184488,26.427102047767324,26.427102047767324
2028-01-01T05:00:00Z,106.24230652407655,0.0,35.41410217469218,17.70705108734609,26.56057663101914,26.56057663101914
2028-01-01T06:00:00Z,107.6297877003996,0.0,35.876595900133196,17.938297950066598,26.9074469250999,26.9074469250999
2028-01-01T07:00:00Z,107.83735253961773,0.0,35.945784179872575,17.972892089936288,26.95933813490443,26.95933813490443
2028-01-01T08:00:00Z,107.56825166806097,0.0,35.856083889353656,17.928041944676828,26.89206291701524,26.89206291701524
2028-01-01T09:00:00Z,109.72732821192551,1.4210854715202004e-14,36.57577607064184,18.28788803532092,27.43183205298138,27.43183205298138
2028-01-01T10:00:00Z,109.16210633349702,0.0,36.387368777832336,18.193684388916168,27.290526583374255,27.290526583374255
2028-01-01T11:00:00Z,109.6815594623121,0.0,36.56051982077069,18.280259910385347,27.420389865578024,27.420389865578024
2028-01-01T12:00:00Z,110.46139905669315,0.0,36.82046635223105,18.410233176115526,27.61534976417329,27.61534976417329
2028-01-01T13:00:00Z,108.0864345383052,0.0,36.0288115127684,18.0144057563842,27.0216086345763,27.0216086345763
2028-01-01T14:00:00Z,107.77861486535795,1.4210854715202004e-14,35.92620495511932,17.96310247755966,26.94465371633949,26.94465371633949
