unit_id,annual_heat_GWh,annual_fuel_MWh,annual_co2_tonnes,annual_fuel_cost_nzd,annual_carbon_cost_nzd,annual_total_cost_nzd,annual_operational_cost_nzd,annual_penalty_cost_nzd,annual_system_cost_nzd,avg_cost_nzd_per_MWh_heat,avg_operational_cost_nzd_per_MWh_heat,unserved_MWh,unserved_penalty_cost_nzd,reserve_shortfall_MWh,reserve_penalty_cost_nzd,total_penalty_cost_nzd,unserved_MW,unserved_cost_nzd,reserve_shortfall_MW,online_cost_nzd
CB4,269.67403377111145,306447.7656489903,76611.94141224757,2145134.359542932,5362835.89885733,7507970.258400261,7507970.258400261,,0.0,27.84090909090909,27.84090909090909,,,,,,,0.0,,
EB1,136.8691647949345,138251.68161104494,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,0.0,,
EB2,205.20212045416542,207274.86914562163,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,0.0,,
EB3,205.18308976389017,207255.6462261517,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,0.0,,
UNSERVED,2.071591215898573,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,2071.591215898573,0.0,,
SYSTEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2071.591215898573,0.0,0.0,0.0,0.0,2071.591215898573,0.0,0.0,
TOTAL,819.0,859229.9626318086,76611.94141224757,2145134.359542932,5362835.89885733,7507970.258400261,7507970.258400261,0.0,0.0,9.167240852747572,9.167240852747572,2071.591215898573,0.0,0.0,0.0,0.0,2071.591215898573,0.0,0.0,0.0
