unit_id,annual_heat_GWh,annual_fuel_MWh,annual_co2_tonnes,annual_fuel_cost_nzd,annual_carbon_cost_nzd,annual_total_cost_nzd,annual_operational_cost_nzd,annual_penalty_cost_nzd,annual_system_cost_nzd,avg_cost_nzd_per_MWh_heat,avg_operational_cost_nzd_per_MWh_heat,annual_electricity_cost_nzd,annual_electricity_MWh,avg_electricity_tariff_nzd_per_MWh,annual_shed_penalty_nzd,annual_total_grid_cost_nzd,annual_shed_MWh,n_hours_binding,unserved_avg_cost_nzd_per_MWh,unserved_peak_MW,unserved_MWh,unserved_penalty_cost_nzd,unserved_cost_nzd,reserve_shortfall_peak_MW,reserve_shortfall_MWh,reserve_penalty_cost_nzd,total_penalty_cost_nzd,online_cost_nzd
BB1,269.662227969018,317249.6799635506,1871.7731117849485,13324486.558469126,168459.58006064538,13492946.138529772,13492946.138529772,0.0,0.0,50.036470588235304,50.036470588235304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EB1,136.95890237754213,138342.32563388094,0.0,0.0,0.0,17931190.25269653,17931190.25269653,0.0,0.0,130.92387527513364,130.92387527513364,17931190.25269653,138342.32563388094,129.61463652238228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EB2,205.12016740112824,207192.08828396793,0.0,0.0,0.0,26854146.014692962,26854146.014692962,0.0,0.0,130.9190917447801,130.9190917447801,26854146.014692962,207192.08828396793,129.6099008273323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EB3,204.59215144774024,206658.73883610126,0.0,0.0,0.0,26767219.758825477,26767219.758825477,0.0,0.0,130.83209482580142,130.83209482580142,26767219.758825477,206658.73883610126,129.52377387754342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNSERVED,2.666550804571284,0.0,0.0,0.0,0.0,53331016.09142567,0.0,53331016.09142567,0.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,2666.5508045712836,53331016.09142567,53331016.09142567,0.0,0.0,0.0,53331016.09142567,0.0
SYSTEM,0.0,0.0,0.0,0.0,0.0,53331016.091425665,0.0,53331016.091425665,53331016.091425665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19999.999999999975,11.668348473204304,2666.550804571287,53331016.091425665,53331016.091425665,0.0,0.0,0.0,53331016.091425665,0.0
TOTAL,818.9999999999999,869442.8327175007,1871.7731117849485,13324486.558469126,168459.58006064538,191707534.34759605,138376518.2561704,53331016.091425665,53331016.091425665,234.0751335135483,168.95789774868183,71552556.02621497,552193.1527539501,129.57885419143875,0.0,0.0,0.0,0.0,19999.999999999975,11.668348473204304,2666.550804571287,53331016.091425665,53331016.091425665,0.0,0.0,0.0,53331016.091425665,0.0
