unit_id,annual_heat_GWh,annual_fuel_MWh,annual_co2_tonnes,annual_fuel_cost_nzd,annual_carbon_cost_nzd,annual_total_cost_nzd,annual_operational_cost_nzd,annual_penalty_cost_nzd,annual_system_cost_nzd,avg_cost_nzd_per_MWh_heat,avg_operational_cost_nzd_per_MWh_heat,annual_electricity_cost_nzd,annual_electricity_MWh,avg_electricity_tariff_nzd_per_MWh,annual_shed_penalty_nzd,annual_total_grid_cost_nzd,annual_shed_MWh,n_hours_binding,unserved_avg_cost_nzd_per_MWh,unserved_peak_MW,unserved_MWh,unserved_penalty_cost_nzd,unserved_cost_nzd,reserve_shortfall_peak_MW,reserve_shortfall_MWh,reserve_penalty_cost_nzd,total_penalty_cost_nzd,online_cost_nzd
CB2,163.7949342673876,204743.66783423445,51185.91695855861,1433205.6748396412,3071155.017513517,4504360.692353158,4504360.692353158,0.0,0.0,27.5,27.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CB3,261.22325129346353,303747.9666203064,75936.9916550766,2126235.766342145,4556219.499304596,6682455.265646741,6682455.265646741,0.0,0.0,25.581395348837205,25.581395348837205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CB4,261.1483767327314,296759.5190144674,74189.87975361686,2077316.6331012722,4451392.785217011,6528709.418318284,6528709.418318284,0.0,0.0,24.999999999999996,24.999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EB1,132.52042861308587,133859.01880109686,0.0,0.0,0.0,22864542.240215987,22864542.240215987,0.0,0.0,172.5359816558743,172.5359816558743,22864542.240215987,133859.01880109686,170.81062183931556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNSERVED,0.3130090933317472,0.0,0.0,0.0,0.0,6260181.8666349435,0.0,6260181.8666349435,0.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,313.0090933317472,6260181.8666349435,6260181.8666349435,0.0,0.0,0.0,6260181.8666349435,0.0
SYSTEM,0.0,0.0,0.0,0.0,0.0,6260181.866634942,0.0,6260181.866634942,6260181.866634942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19999.99999999999,5.7647736265396645,313.00909333174724,6260181.866634942,6260181.866634942,0.0,0.0,0.0,6260181.866634942,0.0
TOTAL,819.0000000000001,939110.1722701052,201312.7883672521,5636758.074283059,12078767.302035125,53100431.34980406,46840249.483169116,6260181.866634942,6260181.866634942,64.83569151380226,57.1920018109513,22864542.240215987,133859.01880109686,170.81062183931556,0.0,0.0,0.0,0.0,19999.99999999999,5.7647736265396645,313.00909333174724,6260181.866634942,6260181.866634942,0.0,0.0,0.0,6260181.866634942,0.0
