unit_id,annual_heat_GWh,annual_fuel_MWh,annual_co2_tonnes,annual_fuel_cost_nzd,annual_carbon_cost_nzd,annual_total_cost_nzd,annual_operational_cost_nzd,annual_penalty_cost_nzd,annual_system_cost_nzd,avg_cost_nzd_per_MWh_heat,avg_operational_cost_nzd_per_MWh_heat,unserved_MWh,unserved_penalty_cost_nzd,reserve_shortfall_MWh,reserve_penalty_cost_nzd,total_penalty_cost_nzd,unserved_MW,unserved_cost_nzd,reserve_shortfall_MW,online_cost_nzd
CB2,163.7949342673876,204743.66783423445,51185.91695855861,1433205.6748396412,3071155.017513517,4504360.692353158,4504360.692353158,,0.0,27.5,27.5,,,,,,,0.0,,
CB3,261.22325129346353,303747.9666203064,75936.9916550766,2126235.766342145,4556219.499304596,6682455.265646741,6682455.265646741,,0.0,25.581395348837205,25.581395348837205,,,,,,,0.0,,
CB4,261.1483767327314,296759.5190144674,74189.87975361686,2077316.6331012722,4451392.785217011,6528709.418318284,6528709.418318284,,0.0,24.999999999999996,24.999999999999996,,,,,,,0.0,,
EB1,132.52042861308587,133859.01880109686,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,0.0,,
UNSERVED,0.31300909333175303,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,313.00909333175304,0.0,,
SYSTEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,313.0090933317531,0.0,0.0,0.0,0.0,313.0090933317531,0.0,0.0,
TOTAL,819.0000000000001,939110.1722701052,201312.7883672521,5636758.074283059,12078767.302035125,17715525.376318183,17715525.376318183,0.0,0.0,21.630678115162613,21.630678115162613,313.0090933317531,0.0,0.0,0.0,0.0,313.0090933317531,0.0,0.0,0.0
