timestamp_utc,total_heat_MW,unserved_MW,EB1_MW,EB2_MW,EB3_MW,BB1_MW
2035-01-01T00:00:00Z,116.24066167053539,1.4210854715202004e-14,19.3734436117559,29.06016541763385,29.06016541763385,38.7468872235118
2035-01-01T01:00:00Z,115.51451641713518,0.0,19.252419402855864,28.878629104283796,28.878629104283796,38.50483880571173
2035-01-01T02:00:00Z,116.41331214772188,0.0,19.40221869128698,29.10332803693047,29.10332803693047,38.80443738257396
2035-01-01T03:00:00Z,118.00667293735228,0.0,19.667778822892046,29.50166823433807,29.50166823433807,39.33555764578409
2035-01-01T04:00:00Z,116.56904063095172,0.0,19.428173438491953,29.14226015773793,29.14226015773793,38.856346876983906
2035-01-01T05:00:00Z,117.15114995628234,0.0,19.52519165938039,29.287787489070585,29.287787489070585,39.05038331876078
2035-01-01T06:00:00Z,118.66392061227786,0.0,19.77732010204631,29.665980153069466,29.665980153069466,39.55464020409262
2035-01-01T07:00:00Z,118.89022854592334,0.0,19.815038090987223,29.722557136480834,29.722557136480834,39.630076181974445
2035-01-01T08:00:00Z,118.59682787934804,0.0,19.76613797989134,29.64920696983701,29.64920696983701,39.53227595978268
2035-01-01T09:00:00Z,120.0,0.0,20.0,30.0,30.0,40.0
2035-01-01T10:00:00Z,120.0,0.0,20.0,30.0,30.0,40.0
2035-01-01T11:00:00Z,120.0,0.0,20.0,30.0,30.0,40.0
2035-01-01T12:00:00Z,120.0,0.0,20.0,30.0,30.0,40.0
2035-01-01T13:00:00Z,119.1618026364272,0.0,19.860300439404533,29.7904506591068,29.7904506591068,39.720600878809066
2035-01-01T14:00:00Z,118.82618686266457,1.4210854715202004e-14,19.804364477110763,29.706546715666146,29.706546715666146,39.608728954221526
2035-01-01T15:00:00Z,119.6362096097225,0.0,19.939368268287083,29.909052402430625,29.909052402430625,39.878736536574166
2035-01-01T16:00:00Z,119.71230714449744,0.0,19.95205119074957,29.92807678612436,29.92807678612436,39.90410238149914
2035-01-01T17:00:00Z,120.0,0.0,20.0,30.0,30.0,40.0
2035-01-01T18:00:00Z,119.2710700030012,0.0,19.878511667166865,29.8177675007503,29.8177675007503,39.75702333433373
2035-01-01T19:00:00Z,118.09557548454423,1.4210854715202004e-14,19.682595914090705,29.52389387113606,29.52389387113606,39.36519182818141
2035-01-01T20:00:00Z,120.0,0.0,20.0,30.0,30.0,40.0
2035-01-01T21:00:00Z,118.3251356124815,0.0,19.72085593541358,29.581283903120376,29.581283903120376,39.44171187082716
2035-01-01T22:00:00Z,116.91755639398306,0.0,19.486259398997177,29.229389098495766,29.229389098495766,38.972518797994354
2035-01-01T23:00:00Z,114.61846973986397,1.4210854715202004e-14,19.10307828997733,28.654617434965996,28.654617434965996,38.20615657995466
2035-01-02T00:00:00Z,115.05008968974866,1.4210854715202004e-14,19.175014948291444,28.76252242243717,28.76252242243717,38.35002989658289
2035-01-02T01:00:00Z,115.79948022469588,0.0,19.299913370782647,28.94987005617397,28.94987005617397,38.599826741565295
2035-01-02T02:00:00Z,114.35638490560842,1.4210854715202004e-14,19.05939748426807,28.58909622640211,28.58909622640211,38.11879496853614
2035-01-02T03:00:00Z,116.68791916888809,1.4210854715202004e-14,19.447986528148014,29.171979792222025,29.171979792222025,38.89597305629603
2035-01-02T04:00:00Z,116.14566075633559,1.4210854715202004e-14,19.35761012605593,29.0364151890839,29.0364151890839,38.71522025211186
2035-01-02T05:00:00Z,117.08432201151209,0.0,19.514053668585348,29.27108050287802,29.27108050287802,39.028107337170695
2035-01-02T06:00:00Z,116.1444270457469,0.0,19.35740450762448,29.036106761436724,29.036106761436724,38.71480901524896
2035-01-02T07:00:00Z,120.0,0.0,20.0,30.0,30.0,40.0
2035-01-02T08:00:00Z,119.1341279463291,1.4210854715202004e-14,19.85568799105485,29.78353198658228,29.78353198658228,39.7113759821097
2035-01-02T09:00:00Z,119.04670477337298,1.4210854715202004e-14,19.84111746222883,29.76167619334325,29.76167619334325,39.68223492445766
2035-01-02T10:00:00Z,120.0,0.0,20.0,30.0,30.0,40.0
2035-01-02T11:00:00Z,119.9937330160142,0.0,19.998955502669034,29.99843325400355,29.99843325400355,39.99791100533807
2035-01-02T12:00:00Z,120.0,0.0,20.0,30.0,30.0,40.0
2035-01-02T13:00:00Z,119.10606735304347,1.4210854715202004e-14,19.851011225507246,29.77651683826087,29.77651683826087,39.70202245101449
2035-01-02T14:00:00Z,119.30057319599811,1.4210854715202004e-14,19.883428865999687,29.82514329899953,29.82514329899953,39.76685773199937
2035-01-02T15:00:00Z,120.0,0.0,20.0,30.0,30.0,40.0
2035-01-02T16:00:00Z,120.0,0.0,20.0,30.0,30.0,40.0
2035-01-02T17:00:00Z,120.0,0.0,20.0,30.0,30.0,40.0
2035-01-02T18:00:00Z,120.0,0.0,20.0,30.0,30.0,40.0
2035-01-02T19:00:00Z,119.41182886831123,1.4210854715202004e-14,19.901971478051873,29.85295721707781,29.85295721707781,39.80394295610375
