timestamp_utc,total_heat_MW,EB1_MW,EB2_MW,EB3_MW,EB4_MW
2035-01-01T00:00:00Z,102.33178520652876,19.6,29.4,29.4,23.931785206528765
2035-01-01T01:00:00Z,101.6852120391192,19.6,29.4,29.4,23.28521203911918
2035-01-01T02:00:00Z,102.48551638547201,19.6,29.4,29.4,24.085516385471998
2035-01-01T03:00:00Z,103.9042743099416,19.6,29.4,29.4,25.5042743099416
2035-01-01T04:00:00Z,102.62417990793713,19.6,29.4,29.4,24.22417990793712
2035-01-01T05:00:00Z,103.14250082031003,19.6,29.4,29.4,24.742500820310035
2035-01-01T06:00:00Z,104.48949979886322,19.6,29.4,29.4,26.08949979886321
2035-01-01T07:00:00Z,104.69100856970744,19.6,29.4,29.4,26.291008569707436
2035-01-01T08:00:00Z,104.42975918823814,19.6,29.4,29.4,26.02975918823814
2035-01-01T09:00:00Z,106.52584088565683,19.6,29.4,29.4,28.12584088565682
2035-01-01T10:00:00Z,105.9771103472601,19.6,29.4,29.4,27.57711034726008
2035-01-01T11:00:00Z,106.48140751961844,19.6,29.4,29.4,28.081407519618445
2035-01-01T12:00:00Z,107.23849392554024,19.6,29.4,29.4,28.83849392554024
2035-01-01T13:00:00Z,104.93282316404824,19.6,29.4,29.4,26.532823164048246
2035-01-01T14:00:00Z,104.63398467015432,19.6,29.4,29.4,26.23398467015432
2035-01-01T15:00:00Z,105.35524390966134,19.6,29.4,29.4,26.955243909661327
2035-01-01T16:00:00Z,105.42300256243928,19.6,29.4,29.4,27.02300256243928
2035-01-01T17:00:00Z,106.3152104804706,19.6,29.4,29.4,27.9152104804706
2035-01-01T18:00:00Z,105.03011684870631,19.6,29.4,29.4,26.6301168487063
2035-01-01T19:00:00Z,103.98343478267009,19.6,29.4,29.4,25.583434782670075
2035-01-01T20:00:00Z,106.4812211270058,19.6,29.4,29.4,28.081221127005783
2035-01-01T21:00:00Z,104.18783936747778,19.6,29.4,29.4,25.787839367477766
2035-01-01T22:00:00Z,102.93450479092738,19.6,29.4,29.4,24.534504790927365
2035-01-01T23:00:00Z,100.88735550069634,19.6,29.4,29.4,22.487355500696346
2035-01-02T00:00:00Z,101.27167788909912,19.6,29.4,29.4,22.871677889099125
2035-01-02T01:00:00Z,101.93894908523887,19.6,29.4,29.4,23.538949085238876
2035-01-02T02:00:00Z,100.65399031567156,19.6,29.4,29.4,22.253990315671565
2035-01-02T03:00:00Z,102.73003155738417,19.6,29.4,29.4,24.330031557384167
2035-01-02T04:00:00Z,102.24719463499594,19.6,29.4,29.4,23.847194634995937
2035-01-02T05:00:00Z,103.08299598196092,19.6,29.4,29.4,24.68299598196092
2035-01-02T06:00:00Z,102.24609611626397,19.6,29.4,29.4,23.846096116263958
2035-01-02T07:00:00Z,105.81809249108281,19.6,29.4,29.4,27.418092491082795
2035-01-02T08:00:00Z,104.90818110799955,19.6,29.4,29.4,26.50818110799954
2035-01-02T09:00:00Z,104.83033789745929,19.6,29.4,29.4,26.430337897459275
2035-01-02T10:00:00Z,107.34628133670597,19.6,29.4,29.4,28.946281336705958
2035-01-02T11:00:00Z,105.67358936485317,19.6,29.4,29.4,27.27358936485316
2035-01-02T12:00:00Z,107.2030850793353,19.6,29.4,29.4,28.803085079335283
2035-01-02T13:00:00Z,104.88319543661336,19.6,29.4,29.4,26.483195436613364
2035-01-02T14:00:00Z,105.0563870375637,19.6,29.4,29.4,26.656387037563682
2035-01-02T15:00:00Z,106.15956956563832,19.6,29.4,29.4,27.759569565638323
2035-01-02T16:00:00Z,107.28816411861942,19.6,29.4,29.4,28.88816411861942
2035-01-02T17:00:00Z,106.16378416938002,19.6,29.4,29.4,27.763784169380024
2035-01-02T18:00:00Z,105.86997619518124,19.6,29.4,29.4,27.469976195181225
2035-01-02T19:00:00Z,105.1554511464357,19.6,29.4,29.4,26.755451146435696
2035-01-02T20:00:00Z,103.39151637018233,19.6,29.4,29.4,24.991516370182318
2035-01-02T21:00:00Z,103.67191585620304,19.6,29.4,29.4,25.271915856203044
2035-01-02T22:00:00Z,102.39120561025797,19.6,29.4,29.4,23.991205610257957
2035-01-02T23:00:00Z,103.4274387162962,19.6,29.4,29.4,25.02743871629618
2035-01-03T00:00:00Z,102.1758938110153,19.6,29.4,29.4,23.775893811015287
2035-01-03T01:00:00Z,100.03076776080442,19.6,29.4,29.4,21.630767760804424
2035-01-03T02:00:00Z,102.15600279395056,19.6,29.4,29.4,23.756002793950564
2035-01-03T03:00:00Z,101.95140699344071,19.6,29.4,29.4,23.5514069934407
2035-01-03T04:00:00Z,102.16872577582265,19.6,29.4,29.4,23.768725775822638
2035-01-03T05:00:00Z,104.01694114224748,19.6,29.4,29.4,25.616941142247462
2035-01-03T06:00:00Z,103.92557996544323,19.6,29.4,29.4,25.52557996544322
2035-01-03T07:00:00Z,104.86123359499325,19.6,29.4,29.4,26.46123359499324
2035-01-03T08:00:00Z,104.0418160265776,19.6,29.4,29.4,25.641816026577608
2035-01-03T09:00:00Z,105.62337954804593,19.6,29.4,29.4,27.22337954804592
2035-01-03T10:00:00Z,106.82321142125534,19.6,29.4,29.4,28.423211421255324
2035-01-03T11:00:00Z,108.02327824955759,19.6,29.4,29.4,29.62327824955758
2035-01-03T12:00:00Z,106.46702465826388,19.6,29.4,29.4,28.067024658263882
2035-01-03T13:00:00Z,106.78102623844038,19.6,29.4,29.4,28.381026238440363
2035-01-03T14:00:00Z,105.29259301630594,19.6,29.4,29.4,26.892593016305945
2035-01-03T15:00:00Z,104.68360033303071,19.6,29.4,29.4,26.283600333030698
2035-01-03T16:00:00Z,107.36703845950166,19.6,29.4,29.4,28.967038459501644
2035-01-03T17:00:00Z,107.41953689209649,19.6,29.4,29.4,29.019536892096475
2035-01-03T18:00:00Z,105.91622939667366,19.6,29.4,29.4,27.516229396673644
2035-01-03T19:00:00Z,106.53149094883025,19.6,29.4,29.4,28.13149094883024
2035-01-03T20:00:00Z,105.322635669427,19.6,29.4,29.4,26.922635669427002
2035-01-03T21:00:00Z,103.74994582325846,19.6,29.4,29.4,25.34994582325846
2035-01-03T22:00:00Z,103.23679161583806,19.6,29.4,29.4,24.836791615838045
2035-01-03T23:00:00Z,103.9196330056046,19.6,29.4,29.4,25.519633005604597
2035-01-04T00:00:00Z,101.7895208249191,19.6,29.4,29.4,23.38952082491908
2035-01-04T01:00:00Z,103.41921511324333,19.6,29.4,29.4,25.019215113243327
2035-01-04T02:00:00Z,99.15841937073642,19.6,29.4,29.4,20.758419370736426
2035-01-04T03:00:00Z,103.18670186539521,19.6,29.4,29.4,24.786701865395194
2035-01-04T04:00:00Z,102.95458287809186,19.6,29.4,29.4,24.554582878091843
2035-01-04T05:00:00Z,103.07543484791807,19.6,29.4,29.4,24.675434847918062
2035-01-04T06:00:00Z,102.95943163610576,19.6,29.4,29.4,24.559431636105764
2035-01-04T07:00:00Z,101.82873356138714,19.6,29.4,29.4,23.428733561387126
2035-01-04T08:00:00Z,104.6918578213961,19.6,29.4,29.4,26.291857821396086
2035-01-04T09:00:00Z,106.32935744725759,19.6,29.4,29.4,27.92935744725758
2035-01-04T10:00:00Z,108.04403492373643,19.6,29.4,29.4,29.644034923736434
2035-01-04T11:00:00Z,106.42519991775933,19.6,29.4,29.4,28.025199917759316
2035-01-04T12:00:00Z,106.11471997539488,19.6,29.4,29.4,27.714719975394864
2035-01-04T13:00:00Z,106.44286565318049,19.6,29.4,29.4,28.042865653180478
2035-01-04T14:00:00Z,107.44514688037032,19.6,29.4,29.4,29.045146880370318
2035-01-04T15:00:00Z,106.2993081967588,19.6,29.4,29.4,27.899308196758803
2035-01-04T16:00:00Z,105.93748122721482,19.6,29.4,29.4,27.53748122721482
2035-01-04T17:00:00Z,106.52613629050308,19.6,29.4,29.4,28.126136290503077
2035-01-04T18:00:00Z,106.09544973888197,19.6,29.4,29.4,27.695449738881955
2035-01-04T19:00:00Z,106.49469361431713,19.6,29.4,29.4,28.094693614317116
2035-01-04T20:00:00Z,104.2063670833897,19.6,29.4,29.4,25.806367083389695
2035-01-04T21:00:00Z,104.08144649590378,19.6,29.4,29.4,25.681446495903764
2035-01-04T22:00:00Z,102.46169965898349,19.6,29.4,29.4,24.06169965898348
2035-01-04T23:00:00Z,100.847679456057,19.6,29.4,29.4,22.447679456056996
2035-01-05T00:00:00Z,101.61689084188384,19.6,29.4,29.4,23.216890841883846
2035-01-05T01:00:00Z,101.58136407610374,19.6,29.4,29.4,23.181364076103726
2035-01-05T02:00:00Z,101.3220518369115,19.6,29.4,29.4,22.922051836911486
2035-01-05T03:00:00Z,101.59490487627181,19.6,29.4,29.4,23.1949048762718
2035-01-05T04:00:00Z,100.90207456756056,19.6,29.4,29.4,22.502074567560562
