epoch_tag,strategy_id,strategy_label,future_id,U_inc_mult,U_headroom_mult,U_upgrade_capex_mult,U_voll,U_consents_uplift,selected_upgrade_name,selected_capacity_MW,annualised_upgrade_cost_nzd,annual_incremental_MWh,annual_shed_MWh,shed_fraction,annual_shed_cost_nzd,total_cost_nzd,max_exceed_MW,p95_exceed_MW,p99_exceed_MW,hours_exceed,hours_shed,menu_max_capacity_MW,menu_max_selected,satisficing_pass,voll_nzd_per_MWh_used,is_benchmark,is_policy,regret_vs_benchmark_nzd,regret_vs_best_policy_nzd,regret,n_hours_binding,unserved_peak_MW
2035_EB,S1,Force fonterra_opt1_N_plus21MW,2,1.05,0.95,1.1,15000.0,1.2,fonterra_opt1_N_plus21MW,21.0,950515.8078063899,868636.3636363635,298399.1338686382,0.34352595212506754,4475987008.0295725,4476937523.8373785,85.1138881891971,76.6857798849321,80.14649429258743,6105,6105,150.0,False,False,15000.0,False,True,4469511619.088891,4469511619.088891,4469511619.088891,6105,85.1138881891971
2035_EB,S2,Force fonterra_opt2_N-1_plus32MW,2,1.05,0.95,1.1,15000.0,1.2,fonterra_opt2_N-1_plus32MW,32.0,3376311.358978947,868636.3636363635,234428.02374564589,0.26988050876003195,3516420356.184688,3519796667.543667,74.1138881891971,66.03899334172328,69.36708197467937,5490,5490,150.0,False,False,15000.0,False,True,3512370762.7951794,3512370762.7951794,3512370762.7951794,5490,74.1138881891971
2035_EB,S3,Force fonterra_opt3_N_plus97MW,2,1.05,0.95,1.1,15000.0,1.2,fonterra_opt3_N_plus97MW,97.0,5534774.339205958,868636.3636363635,916.9074638338054,0.0010555711252927117,13753611.957507081,19288386.29671304,9.113888189197098,5.786083624211119,7.7721491311546265,373,373,150.0,False,False,15000.0,False,True,11862481.548225619,11862481.548225619,11862481.548225619,373,9.113888189197098
2035_EB,S4,Force fonterra_opt4_N_plus150MW,2,1.05,0.95,1.1,15000.0,1.2,fonterra_opt4_N_plus150MW,150.0,7425904.748487421,868636.3636363635,0.0,0.0,0.0,7425904.748487421,0.0,0.0,0.0,0,0,150.0,True,True,15000.0,False,True,0.0,0.0,0.0,0,0.0
2035_EB,S_AUTO,Auto-select upgrade (min cost),2,1.05,0.95,1.1,15000.0,1.2,fonterra_opt4_N_plus150MW,150.0,7425904.748487421,868636.3636363635,0.0,0.0,0.0,7425904.748487421,0.0,0.0,0.0,0,0,150.0,True,True,15000.0,True,False,0.0,0.0,0.0,0,0.0
2035_EB,S0,No upgrade (allow shedding),3,1.1,0.8,1.2,15000.0,1.4,none,0.0,0.0,910000.0,549521.9326627022,0.6038702556732991,8242828989.940533,8242828989.940533,118.05870375635405,107.57840029592485,111.85239321613818,8760,8760,150.0,False,False,15000.0,False,True,8233377838.442458,8233377838.442458,8233377838.442458,8760,118.05870375635405
2035_EB,S1,Force fonterra_opt1_N_plus21MW,3,1.1,0.8,1.2,15000.0,1.4,fonterra_opt1_N_plus21MW,21.0,1209747.391753587,910000.0,375936.0661744,0.4131165562356044,5639040992.616,5640250740.007753,97.05870375635405,87.56410057601677,91.33499171265866,6954,6954,150.0,False,False,15000.0,False,True,5630799588.509679,5630799588.509679,5630799588.509679,6954,97.05870375635405
2035_EB,S2,Force fonterra_opt2_N-1_plus32MW,3,1.1,0.8,1.2,15000.0,1.4,fonterra_opt2_N-1_plus32MW,32.0,4297123.547791388,910000.0,304106.73652566364,0.3341832269512787,4561601047.884954,4565898171.432746,86.05870375635405,76.90296492597656,80.62552411748513,6224,6224,150.0,False,False,15000.0,False,True,4556447019.934671,4556447019.934671,4556447019.934671,6224,86.05870375635405
2035_EB,S3,Force fonterra_opt3_N_plus97MW,3,1.1,0.8,1.2,15000.0,1.4,fonterra_opt3_N_plus97MW,97.0,7044258.249898491,910000.0,12510.706511550065,0.0137480291335715,187660597.67325097,194704855.92314947,21.05870375635405,14.794003999499415,17.557518426104462,1775,1775,150.0,False,False,15000.0,False,True,185253704.42507458,185253704.42507458,185253704.42507458,1775,21.05870375635405
2035_EB,S4,Force fonterra_opt4_N_plus150MW,3,1.1,0.8,1.2,15000.0,1.4,fonterra_opt4_N_plus150MW,150.0,9451151.498074898,910000.0,0.0,0.0,0.0,9451151.498074898,0.0,0.0,0.0,0,0,150.0,True,True,15000.0,False,True,0.0,0.0,0.0,0,0.0
2035_EB,S_AUTO,Auto-select upgrade (min cost),3,1.1,0.8,1.2,15000.0,1.4,fonterra_opt4_N_plus150MW,150.0,9451151.498074898,910000.0,0.0,0.0,0.0,9451151.498074898,0.0,0.0,0.0,0,0,150.0,True,True,15000.0,True,False,0.0,0.0,0.0,0,0.0
2035_EB,S0,No upgrade (allow shedding),4,1.0,0.9,1.0,20000.0,1.25,none,0.0,0.0,827272.7272727272,423069.1658461845,0.5114022883854977,8461383316.92369,8461383316.92369,101.22893792550839,92.20429448732607,96.09785273981932,8221,8221,150.0,False,False,20000.0,False,True,8455024432.935131,8455024432.935131,8455024432.935131,8221,101.22893792550839
2035_EB,S1,Force fonterra_opt1_N_plus21MW,4,1.0,0.9,1.0,20000.0,1.25,fonterra_opt1_N_plus21MW,21.0,900109.6664833238,827272.7272727272,279373.8769310157,0.3377046864001289,5587477538.620314,5588377648.286797,80.22893792550839,72.20193421726412,75.51419355505998,6074,6074,150.0,False,False,20000.0,False,True,5582018764.298238,5582018764.298238,5582018764.298238,6074,80.22893792550839
2035_EB,S2,Force fonterra_opt2_N-1_plus32MW,4,1.0,0.9,1.0,20000.0,1.25,fonterra_opt2_N-1_plus32MW,32.0,3197264.5444876393,827272.7272727272,216034.8447699207,0.2611410211504536,4320696895.398414,4323894159.942902,69.22893792550839,61.56245050481968,64.71009971682295,5431,5431,150.0,False,False,20000.0,False,True,4317535275.954343,4317535275.954343,4317535275.954343,5431,69.22893792550839
2035_EB,S3,Force fonterra_opt3_N_plus97MW,4,1.0,0.9,1.0,20000.0,1.25,fonterra_opt3_N_plus97MW,97.0,5241263.57879352,827272.7272727272,55.88102048825779,6.754848630448744e-05,1117620.4097651558,6358883.988558676,4.228937925508404,3.4027246023851734,4.001679967635076,49,49,150.0,False,False,20000.0,False,True,0.0,0.0,0.0,49,4.228937925508404
2035_EB,S4,Force fonterra_opt4_N_plus150MW,4,1.0,0.9,1.0,20000.0,1.25,fonterra_opt4_N_plus150MW,150.0,7032106.769400966,827272.7272727272,0.0,0.0,0.0,7032106.769400966,0.0,0.0,0.0,0,0,150.0,True,True,20000.0,False,True,673222.7808422903,673222.7808422903,673222.7808422903,0,0.0
2035_EB,S_AUTO,Auto-select upgrade (min cost),4,1.0,0.9,1.0,20000.0,1.25,fonterra_opt3_N_plus97MW,97.0,5241263.57879352,827272.7272727272,55.88102048825779,6.754848630448744e-05,1117620.4097651558,6358883.988558676,4.228937925508404,3.4027246023851734,4.001679967635076,49,49,150.0,False,False,20000.0,True,False,0.0,0.0,0.0,49,4.228937925508404
2035_EB,S0,No upgrade (allow shedding),5,1.05,0.85,1.15,10000.0,1.35,none,0.0,0.0,868636.3636363635,485632.8757837232,0.5590750009022455,4856328757.837232,4856328757.837232,109.64382084093123,99.7256501210884,104.00581084816987,8750,8750,150.0,False,False,10000.0,False,True,4847594881.229635,4847594881.229635,4847594881.229635,8750,109.64382084093123
