unit_id,annual_heat_GWh,annual_fuel_MWh,annual_co2_tonnes,annual_fuel_cost_nzd,annual_carbon_cost_nzd,annual_total_cost_nzd,annual_operational_cost_nzd,annual_penalty_cost_nzd,annual_system_cost_nzd,avg_cost_nzd_per_MWh_heat,avg_operational_cost_nzd_per_MWh_heat,unserved_MWh,unserved_penalty_cost_nzd,reserve_shortfall_MWh,reserve_penalty_cost_nzd,total_penalty_cost_nzd,unserved_MW,unserved_cost_nzd,reserve_shortfall_MW
CB1,157.85437117890694,202377.39894731657,50594.34973682914,1416641.792631216,1517830.4921048742,2934472.2847360903,2934472.2847360903,,0.0,18.589743589743588,18.589743589743588,,,,,,,,
CB2,157.80190454052254,197252.38067565317,49313.09516891329,1380766.6647295721,1479392.8550673989,2860159.519796971,2860159.519796971,,0.0,18.125,18.125,,,,,,,,
CB3,251.74355326214172,292725.0619327229,73181.26548318073,2049075.4335290603,2195437.964495422,4244513.398024483,4244513.398024483,,0.0,16.86046511627907,16.86046511627907,,,,,,,,
CB4,251.59922225677005,285908.20710996597,71477.05177749149,2001357.4497697616,2144311.5533247446,4145669.0030945064,4145669.0030945064,,0.0,16.477272727272727,16.477272727272727,,,,,,,,
UNSERVED,0.0009487616587675234,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,0.9487616587675234,,
SYSTEM,0.0,0.0,0.0,0.0,0.0,9487.616587675235,0.0,9487.616587675235,9487.616587675235,0.0,0.0,0.9487616587675234,9487.616587675235,0.0,0.0,9487.616587675235,0.9487616587675234,9487.616587675235,0.0
TOTAL,818.9999999999999,978263.0486656587,244565.76216641467,6847841.34065961,7336972.86499244,14194301.822239727,14184814.20565205,,,17.331259856214565,17.319675464776623,0.9487616587675234,9487.616587675235,0.0,0.0,9487.616587675235,0.9487616587675234,,
