timestamp_utc,total_heat_MW,unserved_MW,CB1_MW,CB2_MW,CB3_MW,CB4_MW
2020-01-01T00:00:00Z,115.92873006281769,0.0,22.293986550541863,22.293986550541863,35.67037848086698,35.67037848086698
2020-01-01T01:00:00Z,115.19624595693398,0.0,22.153124222487303,22.153124222487303,35.44499875597969,35.44499875597969
2020-01-01T02:00:00Z,116.102887684616,0.0,22.327478400887692,22.327478400887692,35.723965441420305,35.723965441420305
2020-01-01T03:00:00Z,117.7101576459323,0.0,22.636568778063904,22.636568778063904,36.218510044902246,36.218510044902246
2020-01-01T04:00:00Z,116.25997559266898,0.0,22.357687613974804,22.357687613974804,35.772300182359686,35.772300182359686
2020-01-01T05:00:00Z,116.84716641529681,0.0,22.470608926018617,22.470608926018617,35.952974281629785,35.952974281629785
2020-01-01T06:00:00Z,118.37314273501428,0.0,22.76406591057967,22.76406591057967,36.422505456927475,36.422505456927475
2020-01-01T07:00:00Z,118.60142621363579,0.0,22.807966579545344,22.807966579545344,36.49274652727255,36.49274652727255
2020-01-01T08:00:00Z,118.30546431907574,0.0,22.75105083059149,22.75105083059149,36.40168132894638,36.40168132894638
2020-01-01T09:00:00Z,120.68005486100014,0.0,23.207702857884644,23.207702857884644,37.13232457261543,37.13232457261543
2020-01-01T10:00:00Z,120.0584138495135,0.0,23.088156509521827,23.088156509521827,36.94105041523492,36.94105041523492
2020-01-01T11:00:00Z,120.6297175812698,0.0,23.198022611782655,23.198022611782655,37.116836178852246,37.116836178852246
2020-01-01T12:00:00Z,121.48739894986126,0.0,23.36296133651178,23.36296133651178,37.38073813841885,37.38073813841885
2020-01-01T13:00:00Z,118.87537099800561,0.0,22.860648268847232,22.860648268847232,36.57703723015557,36.57703723015557
2020-01-01T14:00:00Z,118.53682548136986,0.0,22.795543361801894,22.795543361801894,36.47286937888303,36.47286937888303
2020-01-01T15:00:00Z,119.35391928573732,0.0,22.952676785718715,22.952676785718715,36.724282857149944,36.724282857149944
2020-01-01T16:00:00Z,119.43068111053557,0.0,22.967438675102994,22.967438675102994,36.74790188016479,36.74790188016479
2020-01-01T17:00:00Z,120.44143774573556,0.0,23.161814951102993,23.161814951102993,37.05890392176479,37.05890392176479
2020-01-01T18:00:00Z,118.98559220916474,0.0,22.881844655608603,22.881844655608603,36.610951448973765,36.610951448973765
2020-01-01T19:00:00Z,117.79983626393022,0.0,22.653814666140423,22.653814666140423,36.24610346582468,36.24610346582468
2020-01-01T20:00:00Z,120.62950642245113,0.0,23.197982004317524,23.197982004317524,37.11677120690804,37.11677120690804
2020-01-01T21:00:00Z,118.03140032672798,0.0,22.69834621667846,22.69834621667846,36.317353946685536,36.317353946685536
2020-01-01T22:00:00Z,116.6115337084523,0.0,22.425294943933135,22.425294943933135,35.88047191029302,35.88047191029302
2020-01-01T23:00:00Z,114.2923772803053,0.0,21.979303323135635,21.979303323135635,35.16688531701702,35.16688531701702
2020-01-02T00:00:00Z,114.72776503722093,0.0,22.0630317379271,22.0630317379271,35.30085078068336,35.30085078068336
2020-01-02T01:00:00Z,115.48369734329631,0.0,22.20840333524929,22.20840333524929,35.53344533639886,35.53344533639886
2020-01-02T02:00:00Z,114.02800458822142,0.0,21.92846242081181,21.92846242081181,35.0855398732989,35.0855398732989
2020-01-02T03:00:00Z,116.37989187548064,0.0,22.38074843759243,22.38074843759243,35.80919750014789,35.80919750014789
2020-01-02T04:00:00Z,115.83289984239012,0.0,22.2755576619981,22.2755576619981,35.64089225919696,35.64089225919696
2020-01-02T05:00:00Z,116.77975509897425,0.0,22.4576452113412,22.4576452113412,35.93223233814592,35.93223233814592
2020-01-02T06:00:00Z,115.83165536218004,0.0,22.27531833888078,22.27531833888078,35.64050934220925,35.64050934220925
2020-01-02T07:00:00Z,119.87826710344888,0.0,23.0535129045094,23.0535129045094,36.88562064721504,36.88562064721504
2020-01-02T08:00:00Z,118.84745472293916,0.0,22.855279754411377,22.855279754411377,36.568447607058204,36.568447607058204
2020-01-02T09:00:00Z,118.75926839330828,0.0,22.838320844866974,22.838320844866974,36.54131335178716,36.54131335178716
2020-01-02T10:00:00Z,121.60950820133164,0.0,23.38644388487147,23.38644388487147,37.41831021579435,37.41831021579435
2020-01-02T11:00:00Z,119.71456367659962,0.0,23.02203147626916,23.02203147626916,36.835250362030656,36.835250362030656
2020-01-02T12:00:00Z,121.44728528854625,0.0,23.35524717087428,23.35524717087428,37.36839547339885,37.36839547339885
