timestamp_utc,total_heat_MW,unserved_MW,CB2_MW,CB3_MW,CB4_MW,EB1_MW
2025-01-01T00:00:00Z,116.17502333017157,1.4210854715202004e-14,21.513893209291034,34.42222913486565,34.42222913486565,25.816671851149238
2025-01-01T01:00:00Z,115.44098304486948,1.4210854715202004e-14,21.37795982312398,34.20473571699837,34.20473571699837,25.653551787748775
2025-01-01T02:00:00Z,116.34955095386402,1.4210854715202004e-14,21.54621313960445,34.47394102336712,34.47394102336712,25.855455767525342
2025-01-01T03:00:00Z,117.96023559737407,1.4210854715202004e-14,21.84448807358779,34.951180917740466,34.951180917740466,26.21338568830535
2025-01-01T04:00:00Z,116.50697259880963,1.4210854715202004e-14,21.57536529607586,34.52058447372137,34.52058447372137,25.890438355291028
2025-01-01T05:00:00Z,117.09541092191628,1.4210854715202004e-14,21.684335355910424,34.69493656945668,34.69493656945668,26.021202427092508
2025-01-01T06:00:00Z,118.6246292136064,0.0,21.96752392844563,35.148038285513,35.148038285513,26.361028714134754
2025-01-01T07:00:00Z,118.85339768575625,1.4210854715202004e-14,22.009888460325232,35.21582153652037,35.21582153652037,26.411866152390278
2025-01-01T08:00:00Z,118.55680701330844,1.4210854715202004e-14,21.954964261723788,35.12794281875806,35.12794281875806,26.345957114068543
2025-01-01T09:00:00Z,120.93644242774099,1.4210854715202004e-14,22.395637486618703,35.833019978589924,35.833019978589924,26.87476498394244
2025-01-01T10:00:00Z,120.31348072555276,0.0,22.280274208435696,35.648438733497116,35.648438733497116,26.736329050122833
2025-01-01T11:00:00Z,120.88599820529602,1.4210854715202004e-14,22.38629596394371,35.81807354230993,35.81807354230993,26.86355515673245
2025-01-01T12:00:00Z,121.7455017377851,0.0,22.545463284775018,36.07274125564003,36.07274125564003,27.054555941730023
2025-01-01T13:00:00Z,119.12792447215423,0.0,22.060726754102635,35.29716280656422,35.29716280656422,26.472872104923162
2025-01-01T14:00:00Z,118.78865970774105,0.0,21.997899945877972,35.19663991340475,35.19663991340475,26.397479935053564
2025-01-01T15:00:00Z,119.60748944678755,0.0,22.149535082738435,35.439256132381495,35.439256132381495,26.579442099286123
2025-01-01T16:00:00Z,119.6844143538573,1.4210854715202004e-14,22.163780435899504,35.4620486974392,35.4620486974392,26.596536523079404
2025-01-01T17:00:00Z,120.69731836489807,1.4210854715202004e-14,22.351355252758903,35.76216840441425,35.76216840441425,26.821626303310683
2025-01-01T18:00:00Z,119.23837985082488,0.0,22.08118145385646,35.329890326170336,35.329890326170336,26.49741774462775
2025-01-01T19:00:00Z,118.05010473966935,1.4210854715202004e-14,21.86113050734618,34.97780881175388,34.97780881175388,26.233356608815413
2025-01-01T20:00:00Z,120.88578659786556,0.0,22.38625677738251,35.81801084381202,35.81801084381202,26.86350813285901
2025-01-01T21:00:00Z,118.28216076567244,0.0,21.904103845494895,35.04656615279183,35.04656615279183,26.284924614593876
2025-01-01T22:00:00Z,116.85927760793814,0.0,21.640606964432987,34.62497114309278,34.62497114309278,25.968728357319584
2025-01-01T23:00:00Z,114.53519407833936,0.0,21.2102211256184,33.93635380098944,33.93635380098944,25.452265350742078
2025-01-02T00:00:00Z,114.971506826611,0.0,21.29101978270574,34.06563165232919,34.06563165232919,25.549223739246887
2025-01-02T01:00:00Z,115.72904512834816,1.4210854715202004e-14,21.43130465339781,34.2900874454365,34.2900874454365,25.71756558407737
2025-01-02T02:00:00Z,114.27025972035874,0.0,21.16115920747384,33.85785473195814,33.85785473195814,25.393391048968606
2025-01-02T03:00:00Z,116.62714364653664,0.0,21.59761919380308,34.55619071008493,34.55619071008493,25.917143032563697
2025-01-02T04:00:00Z,116.07898951622502,1.4210854715202004e-14,21.496109169671303,34.393774671474084,34.393774671474084,25.79533100360556
2025-01-02T05:00:00Z,117.0278563886936,1.4210854715202004e-14,21.671825257165484,34.674920411464775,34.674920411464775,26.00619030859858
2025-01-02T06:00:00Z,116.07774239208803,1.4210854715202004e-14,21.495878220757042,34.39340515321127,34.39340515321127,25.795053864908454
2025-01-02T07:00:00Z,120.13295125356103,1.4210854715202004e-14,22.246842824733527,35.59494851957364,35.59494851957364,26.69621138968023
2025-01-02T08:00:00Z,119.09994888831599,1.4210854715202004e-14,22.05554609042889,35.28887374468622,35.28887374468622,26.466655308514667
2025-01-02T09:00:00Z,119.01157520478887,1.4210854715202004e-14,22.039180593479422,35.26268894956708,35.26268894956708,26.447016712175305
