unit_id,annual_heat_GWh,annual_fuel_MWh,annual_co2_tonnes,annual_fuel_cost_nzd,annual_carbon_cost_nzd,annual_total_cost_nzd,annual_operational_cost_nzd,annual_penalty_cost_nzd,annual_system_cost_nzd,avg_cost_nzd_per_MWh_heat,avg_operational_cost_nzd_per_MWh_heat,unserved_MWh,unserved_penalty_cost_nzd,reserve_shortfall_MWh,reserve_penalty_cost_nzd,total_penalty_cost_nzd,unserved_MW,unserved_cost_nzd,reserve_shortfall_MW,online_cost_nzd
CB2,151.57849678787332,189473.12098484166,47368.280246210415,1326311.8468938915,2842096.814772625,4168408.661666516,4168408.661666516,0.0,0.0,27.499999999999996,27.499999999999996,0.0,0.0,0.0,0.0,0.0,,0.0,,
CB3,241.8262771894121,281193.3455690839,70298.33639227097,1968353.4189835868,4217900.183536258,6186253.602519845,6186253.602519845,0.0,0.0,25.581395348837212,25.581395348837212,0.0,0.0,0.0,0.0,0.0,,0.0,,
CB4,241.75928416138862,274726.4592743052,68681.6148185763,1923085.2149201366,4120896.8891145783,6043982.104034714,6043982.104034714,0.0,0.0,24.999999999999996,24.999999999999996,0.0,0.0,0.0,0.0,0.0,,0.0,,
EB1,183.83594186132595,185692.87056699593,0.0,26925466.23221441,0.0,26925466.23221441,26925466.23221441,0.0,0.0,146.46464646464648,146.46464646464648,0.0,0.0,0.0,0.0,0.0,,0.0,,
UNSERVED,4.710898338089464e-14,0.0,0.0,0.0,0.0,9.421796676178928e-07,0.0,9.421796676178928e-07,0.0,20000.0,20000.0,4.710898338089464e-11,9.421796676178928e-07,0.0,0.0,9.421796676178928e-07,4.710898338089464e-11,9.421796676178928e-07,,
SYSTEM,0.0,0.0,0.0,0.0,0.0,9.421796676178928e-07,0.0,9.421796676178928e-07,,0.0,0.0,4.710898338089464e-11,9.421796676178928e-07,0.0,0.0,9.421796676178928e-07,4.710898338089464e-11,9.421796676178928e-07,0.0,
TOTAL,819.0,931085.7963952267,186348.2314570577,32143216.713012025,11180893.88742346,43324110.60043736,43324110.60043642,9.421796676178928e-07,9.421796676178928e-07,52.89879194192596,52.89879194192481,4.710898338089464e-11,9.421796676178928e-07,0.0,0.0,9.421796676178928e-07,4.710898338089464e-11,9.421796676178928e-07,0.0,0.0
