unit_id,annual_heat_GWh,annual_fuel_MWh,annual_co2_tonnes,annual_fuel_cost_nzd,annual_carbon_cost_nzd,annual_total_cost_nzd,annual_operational_cost_nzd,annual_penalty_cost_nzd,annual_system_cost_nzd,avg_cost_nzd_per_MWh_heat,avg_operational_cost_nzd_per_MWh_heat,annual_electricity_cost_nzd,annual_electricity_MWh,avg_electricity_tariff_nzd_per_MWh,annual_shed_penalty_nzd,annual_total_grid_cost_nzd,annual_shed_MWh,n_hours_binding,unserved_avg_cost_nzd_per_MWh,unserved_peak_MW,unserved_MWh,unserved_penalty_cost_nzd,unserved_cost_nzd,reserve_shortfall_peak_MW,reserve_shortfall_MWh,reserve_penalty_cost_nzd,total_penalty_cost_nzd,online_cost_nzd
BB1,231.9897986700205,272929.17490590643,1610.282131944848,11463025.34604807,144925.39187503632,11607950.737923106,11607950.737923106,0.0,0.0,50.03647058823529,50.03647058823529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EB1,176.44779264700546,178230.0935828338,0.0,0.0,0.0,23107881.731597748,23107881.731597748,0.0,0.0,130.9615801078706,130.9615801078706,23107881.731597748,178230.0935828338,129.6519643067919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EB2,205.545212318181,207621.42658402122,0.0,0.0,0.0,26916703.207220443,26916703.207220443,0.0,0.0,130.95271304862007,130.95271304862007,26916703.207220443,207621.42658402122,129.64318591813387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EB3,205.017196364793,207088.07713615455,0.0,0.0,0.0,26829776.951352954,26829776.951352954,0.0,0.0,130.8659830837505,130.8659830837505,26829776.951352954,207088.07713615455,129.557323252913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNSERVED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYSTEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOTAL,819.0,865868.7722089159,1610.282131944848,11463025.34604807,144925.39187503632,88462312.62809426,88462312.62809426,0.0,0.0,108.01259173149482,108.01259173149482,76854361.89017114,592939.5973030096,129.61583648611733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
