unit_id,annual_heat_GWh,annual_fuel_MWh,annual_co2_tonnes,annual_fuel_cost_nzd,annual_carbon_cost_nzd,var_om_cost_nzd,fixed_on_cost_nzd,startup_cost_nzd,annual_total_cost_nzd,annual_operational_cost_nzd,annual_penalty_cost_nzd,annual_system_cost_nzd,avg_cost_nzd_per_MWh_heat,avg_operational_cost_nzd_per_MWh_heat,unserved_MW,unserved_cost_nzd,reserve_shortfall_MW,reserve_penalty_cost_nzd,online_cost_nzd,hours_reserve_shortfall_gt_0,p95_reserve_shortfall_MW,avg_online_units,avg_online_headroom_MW,avg_online_units_peak_season,avg_online_units_low_season
CB2,39.375850680458875,49219.81335057359,12304.953337643397,344538.6934540151,738297.2002586039,0.0,21360.0,7500.0,1111695.893712619,1111695.893712619,0.0,0.0,28.232936546163874,28.232936546163874,0.0,0.0,0.0,0.0,0.0,,,,,,
CB3,257.52922345547944,299452.58541334816,74863.14635333704,2096168.0978934374,4491788.781200223,0.0,43800.0,2500.0,6634256.87909366,6634256.87909366,0.0,0.0,25.761180770385707,25.761180770385707,0.0,0.0,0.0,0.0,0.0,,,,,,
CB4,350.3989258640616,398180.5975727972,99545.1493931993,2787264.1830095807,5972708.963591958,0.0,43800.0,2500.0,8806273.14660154,8806273.14660154,0.0,0.0,25.132135108250765,25.132135108250765,0.0,0.0,0.0,0.0,0.0,,,,,,
EB1,171.696,173430.30303030304,0.0,0.0,0.0,0.0,17520.0,500.0,18020.0,18020.0,0.0,0.0,0.10495294008014165,0.10495294008014165,0.0,0.0,0.0,0.0,0.0,,,,,,
SYSTEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
TOTAL,818.9999999999999,920283.299367022,186713.24908417976,5227970.974357033,11202794.945050785,0.0,126480.0,13000.0,18097845.91940782,18097845.91940782,0.0,1527600.0,22.097491965088913,22.097491965088913,0.0,0.0,0.0,0.0,1527600.0,0.0,0.0,3.4876712328767123,0.0,3.9450549450549453,3.0
