timestamp_utc,total_heat_MW,BB1_MW,EB1_MW,EB2_MW,EB3_MW
2035-05-13T13:00:00Z,67.50279759013034,0.0,19.6,29.4,18.50279759013035
2035-05-13T14:00:00Z,66.1825882942683,0.0,19.6,29.4,17.182588294268307
2035-05-13T15:00:00Z,66.36217641233645,0.0,19.6,29.4,17.362176412336446
2035-05-13T16:00:00Z,66.4035232598271,0.0,19.6,29.4,17.40352325982709
2035-05-13T17:00:00Z,67.41691841076232,0.0,19.6,29.4,18.416918410762314
2035-05-13T18:00:00Z,65.84624754166691,0.0,19.6,29.4,16.84624754166692
2035-05-13T19:00:00Z,66.8419949429483,0.0,19.6,29.4,17.84199494294831
2035-05-13T20:00:00Z,66.52681916272095,0.0,19.6,29.4,17.52681916272096
2035-05-13T21:00:00Z,66.79402875229911,0.0,19.6,29.4,17.794028752299106
2035-05-13T22:00:00Z,64.50388691811578,0.0,19.6,29.4,15.503886918115777
2035-05-13T23:00:00Z,64.87528197917331,0.0,19.6,29.4,15.875281979173304
2035-05-14T00:00:00Z,64.79515434034728,0.0,19.6,29.4,15.795154340347276
2035-05-14T01:00:00Z,63.07754503359711,0.0,19.6,29.4,14.077545033597113
2035-05-14T02:00:00Z,62.53405665770919,0.0,19.6,29.4,13.534056657709195
2035-05-14T03:00:00Z,62.62626286108645,0.0,19.6,29.4,13.626262861086454
2035-05-14T04:00:00Z,64.47449980285609,0.0,19.6,29.4,15.474499802856082
2035-05-14T05:00:00Z,63.21752282516464,0.0,19.6,29.4,14.217522825164645
2035-05-14T06:00:00Z,63.82514284435033,0.0,19.6,29.4,14.825142844350333
2035-05-14T07:00:00Z,64.91076797595719,0.0,19.6,29.4,15.91076797595718
2035-05-14T08:00:00Z,65.35793931126474,0.0,19.6,29.4,16.35793931126475
2035-05-14T09:00:00Z,66.10562350093451,0.0,19.6,29.4,17.105623500934506
2035-05-14T10:00:00Z,66.28332288548168,0.0,19.6,29.4,17.283322885481674
