strategy_label,mean_total_cost_nzd,p50_total_cost_nzd,p95_total_cost_nzd,mean_annual_shed_MWh,p95_annual_shed_MWh,share_satisficing_0.001,share_satisficing_0.000,share_zero_binding
No upgrade (allow shedding),3058110404.1312914,2920119401.5966396,4905262094.180654,229585.53628796473,286931.9261521878,0.0,0.0,0.0
Force fonterra_opt1_N_plus21MW,1541607917.599722,1405176100.145125,2599221827.393951,115322.20455040285,160212.04584582415,0.0,0.0,0.0
Force fonterra_opt2_N-1_plus32MW,909939817.0058997,836792650.5080057,1663779921.622104,67605.79234238372,105464.03839644515,0.0,0.0,0.0
Force fonterra_opt3_N_plus97MW,5770916.5765710035,5538128.747896386,7336233.529732885,0.0,0.0,1.0,1.0,1.0
Force fonterra_opt4_N_plus150MW,7742732.4372598445,7430405.296819838,9842889.351162191,0.0,0.0,1.0,1.0,1.0
Auto-select upgrade (min cost),5770916.5765710035,5538128.747896386,7336233.529732885,0.0,0.0,1.0,1.0,1.0
