strategy_label,mean_total_cost_nzd,p50_total_cost_nzd,p95_total_cost_nzd,mean_annual_shed_MWh,p95_annual_shed_MWh,share_satisficing_0.001,share_satisficing_0.000,share_zero_binding
No upgrade (allow shedding),5774640018.379928,5617560919.403234,9227135707.568865,433865.4021672985,527568.1068538754,0.0,0.0,0.0
Force fonterra_opt1_N_plus21MW,3820651157.060715,3571400616.0787077,6218053275.965245,286718.77194304956,359197.0285093369,0.0,0.0,0.0
Force fonterra_opt2_N-1_plus32MW,2972192051.0715294,2712334305.2551193,4907059840.219249,222623.3318679696,289101.70573684754,0.0,0.0,0.0
Force fonterra_opt3_N_plus97MW,28605867.62432136,7471961.576384731,109364371.20287998,1642.3758672068025,8768.441019550515,0.66,0.27,0.27
Force fonterra_opt4_N_plus150MW,7742732.4372598445,7430405.296819838,9842889.351162191,0.0,0.0,1.0,1.0,1.0
Auto-select upgrade (min cost),6816290.722572327,6751131.611286227,9461131.654546492,8.242548358096293,52.54798293472133,1.0,0.76,0.76
