unit_id,annual_heat_GWh,annual_fuel_MWh,annual_co2_tonnes,annual_fuel_cost_nzd,annual_carbon_cost_nzd,var_om_cost_nzd,fixed_on_cost_nzd,startup_cost_nzd,annual_total_cost_nzd,annual_operational_cost_nzd,annual_penalty_cost_nzd,annual_system_cost_nzd,avg_cost_nzd_per_MWh_heat,avg_operational_cost_nzd_per_MWh_heat,unserved_MW,unserved_cost_nzd,reserve_shortfall_MW,reserve_penalty_cost_nzd,online_cost_nzd,hours_reserve_shortfall_gt_0,p95_reserve_shortfall_MW,avg_online_units,avg_online_headroom_MW,avg_online_units_peak_season,avg_online_units_low_season
CB1,68.37916288729905,87665.59344525517,21916.398361313793,613659.1541167862,657491.9508394138,0.0,32520.0,20000.0,1323671.1049561999,1323671.1049561999,0.0,0.0,19.35781382901461,19.35781382901461,0.0,0.0,0.0,0.0,0.0,,,,,,
CB2,66.37978559047065,82974.73198808832,20743.68299702208,580823.1239166183,622310.4899106624,0.0,18960.0,15000.0,1237093.6138272807,1237093.6138272807,0.0,0.0,18.636601531971134,18.636601531971134,0.0,0.0,0.0,0.0,0.0,,,,,,
CB3,332.86341866259653,387050.4868169727,96762.62170424318,2709353.4077188093,2902878.6511272956,0.0,43920.0,2500.0,5658652.058846105,5658652.058846105,0.0,0.0,16.999921714383213,16.999921714383213,0.0,0.0,0.0,0.0,0.0,,,,,,
CB4,351.36,399272.72727272724,99818.18181818181,2794909.090909091,2994545.454545454,0.0,43920.0,2500.0,5835874.545454545,5835874.545454545,0.0,0.0,16.609387936744493,16.609387936744493,0.0,0.0,0.0,0.0,0.0,,,,,,
SYSTEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,881642.9816956613,0.0,881642.9816956613,,0.0,0.0,17.632859633913228,881642.9816956613,0.0,0.0,,,,,,,
TOTAL,818.9823671403663,956963.5395230434,239240.88488076086,6698744.776661305,7177226.546422826,0.0,139320.0,40000.0,16330134.304779792,15448491.32308413,881642.9816956613,2274842.9816956613,19.939543218493927,18.86303288436538,17.632859633913228,881642.9816956613,0.0,0.0,1393200.0,0.0,0.0,3.1721311475409837,0.0,3.6065573770491803,2.6097560975609757
