timestamp_utc,total_heat_MW,unserved_MW,EB1_MW,EB2_MW,EB3_MW,EB4_MW
2035-01-01T00:00:00Z,116.19900374762243,1.4210854715202004e-14,19.366500624603738,29.04975093690561,29.04975093690561,38.733001249207476
2035-01-01T01:00:00Z,115.46481194444704,0.0,19.244135324074506,28.86620298611176,28.86620298611176,38.48827064814901
2035-01-01T02:00:00Z,116.37356739665972,0.0,19.395594566109953,29.09339184916493,29.09339184916493,38.791189132219905
2035-01-01T03:00:00Z,117.98458451172023,1.4210854715202004e-14,19.664097418620038,29.49614612793006,29.49614612793006,39.328194837240076
2035-01-01T04:00:00Z,116.5310215359974,0.0,19.42183692266623,29.13275538399935,29.13275538399935,38.84367384533246
2035-01-01T05:00:00Z,117.11958132236036,0.0,19.51993022039339,29.27989533059009,29.27989533059009,39.03986044078678
2035-01-01T06:00:00Z,118.64911526961872,0.0,19.77485254493645,29.66227881740468,29.66227881740468,39.5497050898729
2035-01-01T07:00:00Z,118.87793096330816,0.0,19.812988493884692,29.71948274082704,29.71948274082704,39.625976987769384
2035-01-01T08:00:00Z,118.5812790697137,1.4210854715202004e-14,19.76354651161895,29.64531976742843,29.64531976742843,39.5270930232379
2035-01-01T09:00:00Z,120.0,0.961405679663045,20.0,30.0,30.0,40.0
2035-01-01T10:00:00Z,120.0,0.3383153880306793,20.0,30.0,30.0,40.0
2035-01-01T11:00:00Z,120.0,0.910951044708753,20.0,30.0,30.0,40.0
2035-01-01T12:00:00Z,120.0,1.7706319927293208,20.0,30.0,30.0,40.0
2035-01-01T13:00:00Z,119.15251441650724,0.0,19.858752402751207,29.78812860412681,29.78812860412681,39.717504805502415
2035-01-01T14:00:00Z,118.81317962231964,0.0,19.80219660371994,29.70329490557991,29.70329490557991,39.60439320743988
2035-01-01T15:00:00Z,119.63217838116402,1.4210854715202004e-14,19.93869639686067,29.90804459529101,29.90804459529101,39.87739279372134
2035-01-01T16:00:00Z,119.70911916678784,0.0,19.951519861131306,29.92727979169696,29.92727979169696,39.90303972226261
2035-01-01T17:00:00Z,120.0,0.7222322577179199,20.0,30.0,30.0,40.0
2035-01-01T18:00:00Z,119.26299259496749,0.0,19.87716543249458,29.81574814874187,29.81574814874187,39.75433086498916
2035-01-01T19:00:00Z,118.07447220447057,0.0,19.679078700745094,29.51861805111764,29.51861805111764,39.35815740149019
2035-01-01T20:00:00Z,120.0,0.9107393935990871,20.0,30.0,30.0,40.0
2035-01-01T21:00:00Z,118.30657613061788,0.0,19.717762688436313,29.57664403265447,29.57664403265447,39.435525376872626
2035-01-01T22:00:00Z,116.88339926661928,0.0,19.480566544436545,29.22084981665482,29.22084981665482,38.96113308887309
2035-01-01T23:00:00Z,114.55883600831778,1.4210854715202004e-14,19.09313933471963,28.63970900207945,28.63970900207945,38.18627866943926
2035-01-02T00:00:00Z,114.99523881864873,1.4210854715202004e-14,19.165873136441455,28.748809704662186,28.748809704662186,38.33174627288291
2035-01-02T01:00:00Z,115.75293348863262,1.4210854715202004e-14,19.29215558143877,28.93823337215816,28.93823337215816,38.58431116287754
2035-01-02T02:00:00Z,114.29384696356956,0.0,19.04897449392826,28.57346174089239,28.57346174089239,38.09794898785652
2035-01-02T03:00:00Z,116.65121738898642,0.0,19.44186956483107,29.162804347246606,29.162804347246606,38.88373912966214
2035-01-02T04:00:00Z,116.10295011073218,1.4210854715202004e-14,19.35049168512203,29.02573752768305,29.02573752768305,38.70098337024406
2035-01-02T05:00:00Z,117.05201284478147,1.4210854715202004e-14,19.50866880746358,29.26300321119537,29.26300321119537,39.01733761492716
2035-01-02T06:00:00Z,116.10170272916842,1.4210854715202004e-14,19.350283788194737,29.02542568229211,29.02542568229211,38.700567576389474
2035-01-02T07:00:00Z,120.0,0.1577486518148845,20.0,30.0,30.0,40.0
2035-01-02T08:00:00Z,119.12453305805275,1.4210854715202004e-14,19.854088843008793,29.78113326451319,29.78113326451319,39.708177686017585
2035-01-02T09:00:00Z,119.0361411327576,0.0,19.8393568554596,29.7590352831894,29.7590352831894,39.6787137109192
2035-01-02T10:00:00Z,120.0,1.8930259270158842,20.0,30.0,30.0,40.0
2035-01-02T11:00:00Z,119.99366357040624,1.4210854715202004e-14,19.99894392840104,29.998415892601564,29.998415892601564,39.99788785680208
2035-01-02T12:00:00Z,120.0,1.7304248113089358,20.0,30.0,30.0,40.0
2035-01-02T13:00:00Z,119.09616152014613,0.0,19.849360253357688,29.77404038003653,29.77404038003653,39.698720506715375
2035-01-02T14:00:00Z,119.29282271829942,1.4210854715202004e-14,19.88213711971657,29.82320567957486,29.82320567957486,39.76427423943314
2035-01-02T15:00:00Z,120.0,0.5455000800335199,20.0,30.0,30.0,40.0
2035-01-02T16:00:00Z,120.0,1.8270331093530814,20.0,30.0,30.0,40.0
2035-01-02T17:00:00Z,120.0,0.5502858145439831,20.0,30.0,30.0,40.0
2035-01-02T18:00:00Z,120.0,0.21666323749127514,20.0,30.0,30.0,40.0
2035-01-02T19:00:00Z,119.40531123528216,0.0,19.900885205880357,29.85132780882054,29.85132780882054,39.801770411760714
2035-01-02T20:00:00Z,117.4023415493458,0.0,19.567056924890966,29.35058538733645,29.35058538733645,39.13411384978193
2035-01-02T21:00:00Z,117.72073862275944,1.4210854715202004e-14,19.62012310379324,29.430184655689864,29.430184655689864,39.24024620758648
2035-01-02T22:00:00Z,116.26647634864935,1.4210854715202004e-14,19.377746058108226,29.06661908716234,29.06661908716234,38.75549211621645
2035-01-02T23:00:00Z,117.44313181624364,0.0,19.573855302707273,29.36078295406091,29.36078295406091,39.147710605414545
2035-01-03T00:00:00Z,116.0219871460364,0.0,19.33699785767273,29.0054967865091,29.0054967865091,38.67399571534546
2035-01-03T01:00:00Z,113.58617006882514,1.4210854715202004e-14,18.93102834480419,28.39654251720629,28.39654251720629,37.86205668960838
2035-01-03T02:00:00Z,115.99940065092363,1.4210854715202004e-14,19.333233441820607,28.99985016273091,28.99985016273091,38.66646688364121
2035-01-03T03:00:00Z,115.767079596989,0.0,19.294513266164834,28.94176989924725,28.94176989924725,38.58902653232967
2035-01-03T04:00:00Z,116.01384775370065,1.4210854715202004e-14,19.33564129228344,29.003461938425165,29.003461938425165,38.67128258456688
2035-01-03T05:00:00Z,118.11251908886962,0.0,19.685419848144935,29.528129772217405,29.528129772217405,39.37083969628987
2035-01-03T06:00:00Z,118.0087773462191,0.0,19.668129557703182,29.502194336554776,29.502194336554776,39.336259115406364
2035-01-03T07:00:00Z,119.0712235782196,0.0,19.845203929703267,29.7678058945549,29.7678058945549,39.690407859406534
2035-01-03T08:00:00Z,118.14076482670822,0.0,19.690127471118036,29.535191206677055,29.535191206677055,39.38025494223607
2035-01-03T09:00:00Z,119.93664970438626,0.0,19.98944161739771,29.984162426096564,29.984162426096564,39.97888323479542
2035-01-03T10:00:00Z,120.0,1.2990735891078344,20.0,30.0,30.0,40.0
2035-01-03T11:00:00Z,120.0,2.6617642682341227,20.0,30.0,30.0,40.0
2035-01-03T12:00:00Z,120.0,0.8946191283148011,20.0,30.0,30.0,40.0
2035-01-03T13:00:00Z,120.0,1.2511717939215572,20.0,30.0,30.0,40.0
2035-01-03T14:00:00Z,119.56103751933796,0.0,19.926839586556326,29.89025937983449,29.89025937983449,39.85367917311265
2035-01-03T15:00:00Z,118.8695188192258,0.0,19.811586469870967,29.71737970480645,29.71737970480645,39.623172939741934
2035-01-03T16:00:00Z,120.0,1.9165958958642761,20.0,30.0,30.0,40.0
2035-01-03T17:00:00Z,120.0,1.9762085133273786,20.0,30.0,30.0,40.0
2035-01-03T18:00:00Z,120.0,0.2691843180402742,20.0,30.0,30.0,40.0
2035-01-03T19:00:00Z,120.0,0.9678213960559532,20.0,30.0,30.0,40.0
2035-01-03T20:00:00Z,119.59515132235188,0.0,19.93252522039198,29.89878783058797,29.89878783058797,39.86505044078396
2035-01-03T21:00:00Z,117.80934261238002,1.4210854715202004e-14,19.63489043539667,29.45233565309501,29.45233565309501,39.26978087079334
