timestamp_utc,total_heat_MW,CB4_MW,EB1_MW,EB2_MW,EB3_MW
2028-01-01T00:00:00Z,92.83812828256723,14.438128282567234,19.6,29.4,29.4
2028-01-01T01:00:00Z,92.2515398385282,13.851539838528197,19.6,29.4,29.4
2028-01-01T02:00:00Z,92.97759731345491,14.577597313454916,19.6,29.4,29.4
2028-01-01T03:00:00Z,94.26473239008811,15.864732390088108,19.6,29.4,29.4
2028-01-01T04:00:00Z,93.10339656400791,14.703396564007917,19.6,29.4,29.4
2028-01-01T05:00:00Z,93.57363113733518,15.173631137335192,19.6,29.4,29.4
2028-01-01T06:00:00Z,94.7956645819294,16.395664581929395,19.6,29.4,29.4
2028-01-01T07:00:00Z,94.97847872007759,16.578478720077598,19.6,29.4,29.4
2028-01-01T08:00:00Z,94.74146630461314,16.34146630461315,19.6,29.4,29.4
2028-01-01T09:00:00Z,96.6430875958176,18.243087595817613,19.6,29.4,29.4
2028-01-01T10:00:00Z,96.14526459768047,17.745264597680475,19.6,29.4,29.4
2028-01-01T11:00:00Z,96.60277645956631,18.20277645956631,19.6,29.4,29.4
2028-01-01T12:00:00Z,97.28962546481043,18.889625464810436,19.6,29.4,29.4
2028-01-01T13:00:00Z,95.19785937765823,16.797859377658227,19.6,29.4,29.4
2028-01-01T14:00:00Z,94.92674511559488,16.526745115594892,19.6,29.4,29.4
2028-01-01T15:00:00Z,95.58109075871246,17.18109075871247,19.6,29.4,29.4
2028-01-01T16:00:00Z,95.64256321798948,17.24256321798947,19.6,29.4,29.4
2028-01-01T17:00:00Z,96.45199806740351,18.051998067403517,19.6,29.4,29.4
2028-01-01T18:00:00Z,95.28612680658208,16.88612680658207,19.6,29.4,29.4
2028-01-01T19:00:00Z,94.33654888490682,15.936548884906813,19.6,29.4,29.4
2028-01-01T20:00:00Z,96.60260735921057,18.20260735921056,19.6,29.4,29.4
2028-01-01T21:00:00Z,94.52199018281462,16.121990182814628,19.6,29.4,29.4
2028-01-01T22:00:00Z,93.3849315850004,14.984931585000396,19.6,29.4,29.4
2028-01-01T23:00:00Z,91.52770308032356,13.127703080323556,19.6,29.4,29.4
2028-01-02T00:00:00Z,91.41234854050043,13.01234854050044,19.6,29.4,29.4
2028-01-02T01:00:00Z,92.01465738364377,13.61465738364376,19.6,29.4,29.4
2028-01-02T02:00:00Z,90.85479609416763,12.454796094167634,19.6,29.4,29.4
2028-01-02T03:00:00Z,92.72872382527231,14.32872382527232,19.6,29.4,29.4
2028-01-02T04:00:00Z,92.29289361136088,13.89289361136089,19.6,29.4,29.4
2028-01-02T05:00:00Z,93.04732531064658,14.647325310646579,19.6,29.4,29.4
2028-01-02T06:00:00Z,92.29190203919288,13.891902039192871,19.6,29.4,29.4
2028-01-02T07:00:00Z,95.51614581994582,17.116145819945828,19.6,29.4,29.4
2028-01-02T08:00:00Z,94.69481908551111,16.294819085511108,19.6,29.4,29.4
2028-01-02T09:00:00Z,94.62455432006294,16.22455432006295,19.6,29.4,29.4
2028-01-02T10:00:00Z,96.89555746102462,18.49555746102463,19.6,29.4,29.4
2028-01-02T11:00:00Z,95.38571083145317,16.985710831453176,19.6,29.4,29.4
2028-01-02T12:00:00Z,96.76630211084864,18.36630211084865,19.6,29.4,29.4
2028-01-02T13:00:00Z,94.67226590036717,16.27226590036716,19.6,29.4,29.4
2028-01-02T14:00:00Z,94.82859639000014,16.428596390000152,19.6,29.4,29.4
2028-01-02T15:00:00Z,95.8243783091126,17.424378309112612,19.6,29.4,29.4
2028-01-02T16:00:00Z,96.84309825913653,18.44309825913652,19.6,29.4,29.4
2028-01-02T17:00:00Z,95.82818259906051,17.42818259906052,19.6,29.4,29.4
2028-01-02T18:00:00Z,95.56297837314798,17.162978373147993,19.6,29.4,29.4
2028-01-02T19:00:00Z,94.91801608795339,16.5180160879534,19.6,29.4,29.4
2028-01-02T20:00:00Z,93.3258096198611,14.925809619861113,19.6,29.4,29.4
2028-01-02T21:00:00Z,93.5789107442917,15.178910744291699,19.6,29.4,29.4
2028-01-02T22:00:00Z,92.42288436236558,14.022884362365588,19.6,29.4,29.4
2028-01-02T23:00:00Z,93.35823473704883,14.95823473704884,19.6,29.4,29.4
