unit_id,annual_heat_GWh,annual_fuel_MWh,annual_co2_tonnes,annual_fuel_cost_nzd,annual_carbon_cost_nzd,annual_total_cost_nzd,annual_operational_cost_nzd,annual_penalty_cost_nzd,annual_system_cost_nzd,avg_cost_nzd_per_MWh_heat,avg_operational_cost_nzd_per_MWh_heat,annual_electricity_cost_nzd,annual_shed_penalty_nzd,annual_total_grid_cost_nzd,annual_shed_MWh,n_hours_binding,unserved_peak_MW,unserved_MWh,unserved_penalty_cost_nzd,reserve_shortfall_peak_MW,reserve_shortfall_MWh,reserve_penalty_cost_nzd,total_penalty_cost_nzd,online_cost_nzd,unserved_cost_nzd
EB1,136.2107716315224,137586.63801163877,0.0,0.0,0.0,17830024.64852041,17830024.64852041,0.0,0.0,130.90025432609855,130.90025432609855,17830024.64852041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EB2,204.17498960916168,206237.36324157746,0.0,0.0,0.0,26725524.13050943,26725524.13050943,0.0,0.0,130.89519035445176,130.89519035445176,26725524.13050943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EB3,204.1405030854852,206202.52836917696,0.0,0.0,0.0,26720748.25934259,26720748.25934259,0.0,0.0,130.8939081440056,130.8939081440056,26720748.25934259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EB4,271.90068455348427,274647.1561146305,0.0,0.0,0.0,35587795.586310774,35587795.586310774,0.0,0.0,130.88527395491155,130.88527395491155,35587795.586310774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNSERVED,2.5730511203464355,0.0,0.0,0.0,0.0,51461022.4069287,0.0,51461022.4069287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2573.0511203464353,51461022.4069287,0.0,0.0,0.0,51461022.4069287,0.0,51461022.4069287
SYSTEM,0.0,0.0,0.0,0.0,0.0,51461022.40692873,0.0,51461022.40692873,51461022.40692873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.668348473204304,2573.0511203464375,51461022.40692873,0.0,0.0,0.0,51461022.40692873,0.0,51461022.40692873
TOTAL,819.0,824673.6857370237,0.0,0.0,0.0,209786137.43854064,158325115.03161192,51461022.40692873,51461022.40692873,256.1491299615881,193.31515876875693,106864092.6246832,0.0,0.0,0.0,0.0,11.668348473204304,2573.0511203464375,51461022.40692873,0.0,0.0,0.0,51461022.40692873,0.0,51461022.40692873
