"epoch","total_cost_NZD","avg_cost_NZD_per_MWh_heat","electricity_MWh","avg_tariff","co2_tonnes","carbon_cost_NZD","unserved_MWh","penalty_cost_NZD"
"2025","48118142.9935769","58.7523113474687","185692.870566996","170.81699759664","186348.231457058","11180893.8874235","0","0"
"2028","97198884.6245147","118.679956806489","593128.017657956","152.994409915211","65853.1995791545","4609723.97054081","0","0"
"2035_BB","88462312.6280943","108.012591731495","592939.59730301","129.615836486117","1610.28213194485","144925.391875036","0","0"
"2035_EB","107229866.283179","130.927797659559","827272.727272727","129.618519682963","0","0","0","0"
