unit_id,annual_heat_GWh,annual_fuel_MWh,annual_co2_tonnes,annual_fuel_cost_nzd,annual_carbon_cost_nzd,annual_total_cost_nzd,annual_operational_cost_nzd,annual_penalty_cost_nzd,annual_system_cost_nzd,avg_cost_nzd_per_MWh_heat,avg_operational_cost_nzd_per_MWh_heat,unserved_MWh,unserved_penalty_cost_nzd,reserve_shortfall_MWh,reserve_penalty_cost_nzd,total_penalty_cost_nzd,unserved_MW,unserved_cost_nzd,reserve_shortfall_MW
CB4,351.36,399272.72727272724,99818.18181818181,2794909.090909091,6987272.727272727,9782181.818181816,9782181.818181816,,0.0,27.840909090909086,27.840909090909086,,,,,,0.0,,
EB1,119.48054675969999,120687.42096939393,0.0,17059385.017630454,0.0,17059385.017630454,17059385.017630454,,0.0,142.77960287493823,142.77960287493823,,,,,,0.0,,
EB2,14.659672999559994,14807.750504606054,0.0,2094424.1706455445,0.0,2094424.1706455445,2094424.1706455445,,0.0,142.8697741558361,142.8697741558361,,,,,,0.0,,
EB3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,0.0,,
SYSTEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333499.78024074004,0.0,0.0,0.0,0.0,333499.78024074004,0.0,0.0
TOTAL,485.50021975926,534767.8987467273,99818.18181818181,21948718.27918509,6987272.727272727,28935991.006457817,28935991.006457817,,,59.600366444336544,59.600366444336544,333499.78024074004,0.0,0.0,0.0,0.0,333499.78024074004,,
