timestamp_utc,unit_id,heat_MW,unit_on,fuel_MWh,co2_tonnes,unserved_MW,availability_factor,available_cap_MW,fuel_cost_nzd,carbon_cost_nzd,total_cost_nzd
2020-01-01T00:00:00Z,CB1,12.816284177820023,1,16.43113356130772,4.10778339032693,0.0,1.0,25.0,115.01793492915405,123.23350170980791,238.25143663896196
2020-01-01T00:00:00Z,CB2,25.0,1,31.25,7.8125,0.0,1.0,25.0,218.75,234.375,453.125
2020-01-01T00:00:00Z,CB3,40.0,1,46.51162790697674,11.627906976744185,0.0,1.0,40.0,325.5813953488372,348.83720930232556,674.4186046511627
2020-01-01T00:00:00Z,CB4,40.0,1,45.45454545454545,11.363636363636363,0.0,1.0,40.0,318.1818181818182,340.9090909090909,659.090909090909
2020-01-01T01:00:00Z,CB1,12.071887278271959,1,15.476778561887127,3.8691946404717816,0.0,1.0,25.0,108.33744993320988,116.07583921415345,224.41328914736334
2020-01-01T01:00:00Z,CB2,25.0,1,31.25,7.8125,0.0,1.0,25.0,218.75,234.375,453.125
2020-01-01T01:00:00Z,CB3,40.0,1,46.51162790697674,11.627906976744185,0.0,1.0,40.0,325.5813953488372,348.83720930232556,674.4186046511627
2020-01-01T01:00:00Z,CB4,40.0,1,45.45454545454545,11.363636363636363,0.0,1.0,40.0,318.1818181818182,340.9090909090909,659.090909090909
2020-01-01T02:00:00Z,CB1,12.993274221232554,1,16.658043873375068,4.164510968343767,0.0,1.0,25.0,116.60630711362548,124.935329050313,241.54163616393848
2020-01-01T02:00:00Z,CB2,25.0,1,31.25,7.8125,0.0,1.0,25.0,218.75,234.375,453.125
2020-01-01T02:00:00Z,CB3,40.0,1,46.51162790697674,11.627906976744185,0.0,1.0,40.0,325.5813953488372,348.83720930232556,674.4186046511627
2020-01-01T02:00:00Z,CB4,40.0,1,45.45454545454545,11.363636363636363,0.0,1.0,40.0,318.1818181818182,340.9090909090909,659.090909090909
2020-01-01T03:00:00Z,CB1,14.626684101842983,1,18.7521591049269,4.688039776231725,0.0,1.0,25.0,131.2651137344883,140.64119328695176,271.90630702144006
2020-01-01T03:00:00Z,CB2,25.0,1,31.25,7.8125,0.0,1.0,25.0,218.75,234.375,453.125
2020-01-01T03:00:00Z,CB3,40.0,1,46.51162790697674,11.627906976744185,0.0,1.0,40.0,325.5813953488372,348.83720930232556,674.4186046511627
2020-01-01T03:00:00Z,CB4,40.0,1,45.45454545454545,11.363636363636363,0.0,1.0,40.0,318.1818181818182,340.9090909090909,659.090909090909
2020-01-01T04:00:00Z,CB1,13.1529169367152,1,16.862714021429746,4.215678505357436,0.0,1.0,25.0,118.03899815000821,126.47035516072309,244.50935331073129
2020-01-01T04:00:00Z,CB2,25.0,1,31.25,7.8125,0.0,1.0,25.0,218.75,234.375,453.125
2020-01-01T04:00:00Z,CB3,40.0,1,46.51162790697674,11.627906976744185,0.0,1.0,40.0,325.5813953488372,348.83720930232556,674.4186046511627
2020-01-01T04:00:00Z,CB4,40.0,1,45.45454545454545,11.363636363636363,0.0,1.0,40.0,318.1818181818182,340.9090909090909,659.090909090909
2020-01-01T05:00:00Z,CB1,13.749657568076557,1,17.627766112918664,4.406941528229666,0.0,1.0,25.0,123.39436279043065,132.20824584688998,255.60260863732063
2020-01-01T05:00:00Z,CB2,25.0,1,31.25,7.8125,0.0,1.0,25.0,218.75,234.375,453.125
2020-01-01T05:00:00Z,CB3,40.0,1,46.51162790697674,11.627906976744185,0.0,1.0,40.0,325.5813953488372,348.83720930232556,674.4186046511627
2020-01-01T05:00:00Z,CB4,40.0,1,45.45454545454545,11.363636363636363,0.0,1.0,40.0,318.1818181818182,340.9090909090909,659.090909090909
2020-01-01T06:00:00Z,CB1,15.300451683685367,1,19.61596369703252,4.90399092425813,0.0,1.0,25.0,137.31174587922763,147.1197277277439,284.4314736069715
2020-01-01T06:00:00Z,CB2,25.0,1,31.25,7.8125,0.0,1.0,25.0,218.75,234.375,453.125
2020-01-01T06:00:00Z,CB3,40.0,1,46.51162790697674,11.627906976744185,0.0,1.0,40.0,325.5813953488372,348.83720930232556,674.4186046511627
2020-01-01T06:00:00Z,CB4,40.0,1,45.45454545454545,11.363636363636363,0.0,1.0,40.0,318.1818181818182,340.9090909090909,659.090909090909
