timestamp_utc,total_heat_MW,BB1_MW,EB1_MW,EB2_MW,EB3_MW
2035-01-01T00:00:00Z,102.33178520652876,23.931785206528765,19.6,29.4,29.4
2035-01-01T01:00:00Z,101.68521203911916,23.285212039119166,19.6,29.4,29.4
2035-01-01T02:00:00Z,102.48551638547198,24.085516385471983,19.6,29.4,29.4
2035-01-01T03:00:00Z,103.9042743099416,25.5042743099416,19.6,29.4,29.4
2035-01-01T04:00:00Z,102.6241799079371,24.224179907937106,19.6,29.4,29.4
2035-01-01T05:00:00Z,103.14250082031003,24.742500820310035,19.6,29.4,29.4
2035-01-01T06:00:00Z,104.48949979886319,26.089499798863194,19.6,29.4,29.4
2035-01-01T07:00:00Z,104.69100856970744,26.291008569707436,19.6,29.4,29.4
2035-01-01T08:00:00Z,104.42975918823814,26.02975918823814,19.6,29.4,29.4
2035-01-01T09:00:00Z,106.5258408856568,28.125840885656807,19.6,29.4,29.4
2035-01-01T10:00:00Z,105.97711034726007,27.577110347260067,19.6,29.4,29.4
2035-01-01T11:00:00Z,106.48140751961844,28.081407519618445,19.6,29.4,29.4
2035-01-01T12:00:00Z,107.23849392554024,28.83849392554024,19.6,29.4,29.4
2035-01-01T13:00:00Z,104.93282316404824,26.532823164048246,19.6,29.4,29.4
2035-01-01T14:00:00Z,104.63398467015432,26.23398467015432,19.6,29.4,29.4
2035-01-01T15:00:00Z,105.35524390966131,26.955243909661313,19.6,29.4,29.4
2035-01-01T16:00:00Z,105.42300256243928,27.02300256243928,19.6,29.4,29.4
2035-01-01T17:00:00Z,106.3152104804706,27.9152104804706,19.6,29.4,29.4
2035-01-01T18:00:00Z,105.03011684870629,26.630116848706287,19.6,29.4,29.4
2035-01-01T19:00:00Z,103.98343478267006,25.58343478267006,19.6,29.4,29.4
2035-01-01T20:00:00Z,106.48122112700577,28.08122112700577,19.6,29.4,29.4
2035-01-01T21:00:00Z,104.18783936747775,25.78783936747775,19.6,29.4,29.4
2035-01-01T22:00:00Z,102.93450479092735,24.53450479092735,19.6,29.4,29.4
2035-01-01T23:00:00Z,100.88735550069634,22.487355500696346,19.6,29.4,29.4
2035-01-02T00:00:00Z,101.27167788909912,22.871677889099125,19.6,29.4,29.4
2035-01-02T01:00:00Z,101.93894908523887,23.538949085238876,19.6,29.4,29.4
2035-01-02T02:00:00Z,100.65399031567156,22.253990315671565,19.6,29.4,29.4
2035-01-02T03:00:00Z,102.73003155738417,24.330031557384167,19.6,29.4,29.4
2035-01-02T04:00:00Z,102.24719463499594,23.847194634995937,19.6,29.4,29.4
2035-01-02T05:00:00Z,103.08299598196092,24.68299598196092,19.6,29.4,29.4
2035-01-02T06:00:00Z,102.24609611626394,23.846096116263944,19.6,29.4,29.4
2035-01-02T07:00:00Z,105.81809249108278,27.41809249108278,19.6,29.4,29.4
2035-01-02T08:00:00Z,104.90818110799952,26.508181107999526,19.6,29.4,29.4
2035-01-02T09:00:00Z,104.83033789745926,26.43033789745926,19.6,29.4,29.4
2035-01-02T10:00:00Z,107.34628133670594,28.946281336705944,19.6,29.4,29.4
2035-01-02T11:00:00Z,105.67358936485314,27.273589364853144,19.6,29.4,29.4
2035-01-02T12:00:00Z,107.20308507933527,28.80308507933527,19.6,29.4,29.4
2035-01-02T13:00:00Z,104.88319543661336,26.483195436613364,19.6,29.4,29.4
2035-01-02T14:00:00Z,105.05638703756367,26.65638703756367,19.6,29.4,29.4
2035-01-02T15:00:00Z,106.15956956563832,27.759569565638323,19.6,29.4,29.4
2035-01-02T16:00:00Z,107.28816411861942,28.88816411861942,19.6,29.4,29.4
2035-01-02T17:00:00Z,106.16378416938002,27.763784169380024,19.6,29.4,29.4
2035-01-02T18:00:00Z,105.86997619518121,27.46997619518121,19.6,29.4,29.4
2035-01-02T19:00:00Z,105.1554511464357,26.755451146435696,19.6,29.4,29.4
2035-01-02T20:00:00Z,103.3915163701823,24.991516370182303,19.6,29.4,29.4
2035-01-02T21:00:00Z,103.67191585620304,25.271915856203044,19.6,29.4,29.4
2035-01-02T22:00:00Z,102.39120561025794,23.991205610257943,19.6,29.4,29.4
2035-01-02T23:00:00Z,103.42743871629617,25.027438716296167,19.6,29.4,29.4
2035-01-03T00:00:00Z,102.17589381101527,23.775893811015273,19.6,29.4,29.4
2035-01-03T01:00:00Z,100.03076776080442,21.630767760804424,19.6,29.4,29.4
2035-01-03T02:00:00Z,102.15600279395056,23.756002793950564,19.6,29.4,29.4
2035-01-03T03:00:00Z,101.95140699344068,23.551406993440686,19.6,29.4,29.4
2035-01-03T04:00:00Z,102.16872577582262,23.768725775822624,19.6,29.4,29.4
2035-01-03T05:00:00Z,104.01694114224745,25.61694114224745,19.6,29.4,29.4
2035-01-03T06:00:00Z,103.9255799654432,25.525579965443207,19.6,29.4,29.4
2035-01-03T07:00:00Z,104.86123359499322,26.461233594993224,19.6,29.4,29.4
2035-01-03T08:00:00Z,104.0418160265776,25.641816026577608,19.6,29.4,29.4
2035-01-03T09:00:00Z,105.6233795480459,27.223379548045905,19.6,29.4,29.4
2035-01-03T10:00:00Z,106.82321142125531,28.42321142125531,19.6,29.4,29.4
2035-01-03T11:00:00Z,108.02327824955756,29.623278249557565,19.6,29.4,29.4
2035-01-03T12:00:00Z,106.46702465826388,28.067024658263882,19.6,29.4,29.4
2035-01-03T13:00:00Z,106.78102623844035,28.38102623844035,19.6,29.4,29.4
2035-01-03T14:00:00Z,105.29259301630594,26.892593016305945,19.6,29.4,29.4
2035-01-03T15:00:00Z,104.68360033303068,26.283600333030684,19.6,29.4,29.4
2035-01-03T16:00:00Z,107.36703845950163,28.96703845950163,19.6,29.4,29.4
2035-01-03T17:00:00Z,107.41953689209646,29.01953689209646,19.6,29.4,29.4
2035-01-03T18:00:00Z,105.91622939667363,27.51622939667363,19.6,29.4,29.4
2035-01-03T19:00:00Z,106.53149094883022,28.131490948830226,19.6,29.4,29.4
2035-01-03T20:00:00Z,105.322635669427,26.922635669427002,19.6,29.4,29.4
2035-01-03T21:00:00Z,103.74994582325846,25.34994582325846,19.6,29.4,29.4
2035-01-03T22:00:00Z,103.23679161583803,24.83679161583803,19.6,29.4,29.4
2035-01-03T23:00:00Z,103.9196330056046,25.519633005604597,19.6,29.4,29.4
2035-01-04T00:00:00Z,101.78952082491907,23.389520824919067,19.6,29.4,29.4
2035-01-04T01:00:00Z,103.41921511324333,25.019215113243327,19.6,29.4,29.4
2035-01-04T02:00:00Z,99.15841937073642,20.758419370736426,19.6,29.4,29.4
2035-01-04T03:00:00Z,103.18670186539518,24.78670186539518,19.6,29.4,29.4
2035-01-04T04:00:00Z,102.95458287809183,24.55458287809183,19.6,29.4,29.4
2035-01-04T05:00:00Z,103.07543484791805,24.675434847918048,19.6,29.4,29.4
2035-01-04T06:00:00Z,102.95943163610576,24.559431636105764,19.6,29.4,29.4
2035-01-04T07:00:00Z,101.82873356138711,23.428733561387112,19.6,29.4,29.4
2035-01-04T08:00:00Z,104.69185782139607,26.29185782139607,19.6,29.4,29.4
2035-01-04T09:00:00Z,106.32935744725756,27.929357447257566,19.6,29.4,29.4
2035-01-04T10:00:00Z,108.04403492373643,29.644034923736434,19.6,29.4,29.4
2035-01-04T11:00:00Z,106.4251999177593,28.025199917759302,19.6,29.4,29.4
2035-01-04T12:00:00Z,106.11471997539485,27.71471997539485,19.6,29.4,29.4
2035-01-04T13:00:00Z,106.44286565318046,28.042865653180463,19.6,29.4,29.4
2035-01-04T14:00:00Z,107.44514688037032,29.045146880370318,19.6,29.4,29.4
2035-01-04T15:00:00Z,106.2993081967588,27.899308196758803,19.6,29.4,29.4
2035-01-04T16:00:00Z,105.93748122721482,27.53748122721482,19.6,29.4,29.4
2035-01-04T17:00:00Z,106.52613629050308,28.126136290503077,19.6,29.4,29.4
2035-01-04T18:00:00Z,106.09544973888194,27.69544973888194,19.6,29.4,29.4
2035-01-04T19:00:00Z,106.4946936143171,28.0946936143171,19.6,29.4,29.4
