unit_id,annual_heat_GWh,annual_fuel_MWh,annual_co2_tonnes,annual_fuel_cost_nzd,annual_carbon_cost_nzd,var_om_cost_nzd,fixed_on_cost_nzd,startup_cost_nzd,annual_total_cost_nzd,annual_operational_cost_nzd,annual_penalty_cost_nzd,annual_system_cost_nzd,avg_cost_nzd_per_MWh_heat,avg_operational_cost_nzd_per_MWh_heat,unserved_MW,unserved_cost_nzd,reserve_shortfall_MW,reserve_penalty_cost_nzd,online_cost_nzd,hours_reserve_shortfall_gt_0,p95_reserve_shortfall_MW,avg_online_units,avg_online_headroom_MW,avg_online_units_peak_season,avg_online_units_low_season
BB1,158.02630993316518,185913.30580372375,1096.8885042419702,7808358.843756397,98719.9653817773,0.0,41280.0,12500.0,7960858.809138174,7960858.809138174,0.0,0.0,50.37679366496059,50.37679366496059,0.0,0.0,0.0,0.0,0.0,,,,,,
EB1,171.696,173430.30303030304,0.0,0.0,0.0,0.0,17520.0,500.0,18020.0,18020.0,0.0,0.0,0.10495294008014165,0.10495294008014165,0.0,0.0,0.0,0.0,0.0,,,,,,
EB2,257.544,260145.45454545453,0.0,0.0,0.0,0.0,17520.0,500.0,18020.0,18020.0,0.0,0.0,0.06996862672009443,0.06996862672009443,0.0,0.0,0.0,0.0,0.0,,,,,,
EB3,231.73110821921722,234071.8264840578,0.0,0.0,0.0,0.0,17520.0,500.0,18020.0,18020.0,0.0,0.0,0.07776254184635889,0.07776254184635889,0.0,0.0,0.0,0.0,0.0,,,,,,
SYSTEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129092.38087716233,0.0,129092.38087716233,,0.0,0.0,2.5818476175432465,129092.38087716233,0.0,0.0,,,,,,,
TOTAL,818.9974181523824,853560.8898635391,1096.8885042419702,7808358.843756397,98719.9653817773,0.0,93840.0,14000.0,9870811.190015338,9741718.809138175,129092.38087716233,1855892.3808771623,12.052310509456062,11.894688057887912,2.5818476175432465,129092.38087716233,0.0,0.0,1726800.0,0.0,0.0,3.9424657534246577,0.0,4.0,3.8292682926829267
