unit_id,annual_heat_GWh,annual_fuel_MWh,annual_co2_tonnes,annual_fuel_cost_nzd,annual_carbon_cost_nzd,annual_total_cost_nzd,annual_operational_cost_nzd,annual_penalty_cost_nzd,annual_system_cost_nzd,avg_cost_nzd_per_MWh_heat,avg_operational_cost_nzd_per_MWh_heat,unserved_MWh,unserved_penalty_cost_nzd,reserve_shortfall_MWh,reserve_penalty_cost_nzd,total_penalty_cost_nzd,unserved_MW,unserved_cost_nzd,reserve_shortfall_MW
CB2,117.31959392139306,146649.49240174133,36662.37310043533,1026546.4468121893,2199742.38602612,3226288.832838309,3226288.832838309,,0.0,27.499999999999996,27.499999999999996,,,,,,0.0,,
CB3,345.05452985620406,401226.197507214,100306.5493768035,2808583.382550498,6018392.96260821,8826976.345158707,8826976.345158707,,0.0,25.581395348837205,25.581395348837205,,,,,,0.0,,
CB4,350.4,398181.8181818182,99545.45454545454,2787272.7272727275,5972727.2727272725,8760000.0,8760000.0,,0.0,25.0,25.0,,,,,,0.0,,
EB1,6.21978482100796,6282.610930311071,0.0,882465.2721508142,0.0,882465.2721508142,882465.2721508142,,0.0,141.88035399073573,141.88035399073573,,,,,,0.0,,
SYSTEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.091401394847281,0.0,0.0,0.0,0.0,6.091401394847281,0.0,0.0
TOTAL,818.9939085986051,952340.1190210844,236514.37702269334,7504867.82878623,14190862.621361602,21695730.45014783,21695730.45014783,,,26.490710397677777,26.490710397677777,6.091401394847281,0.0,0.0,0.0,0.0,6.091401394847281,,
