future_id,EB_site_cost_nzd,BB_site_cost_nzd,EB_site_co2_tonnes,BB_site_co2_tonnes,EB_site_electricity_MWh,BB_site_electricity_MWh,EB_upgrade_name,BB_upgrade_name,EB_upgrade_cost_nzd,BB_upgrade_cost_nzd,EB_shed_fraction,BB_shed_fraction,EB_shed_MWh,BB_shed_MWh,EB_rdm_cost_nzd,BB_rdm_cost_nzd,EB_system_cost_nzd,BB_system_cost_nzd,P_elec_mult,P_biomass_mult,ETS_mult,EB_site_cost_future_nzd,BB_site_cost_future_nzd,EB_system_cost_future_nzd,BB_system_cost_future_nzd,winner_system_cost_future,winner_system_cost_future_nzd,regret_EB_future_nzd,regret_BB_future_nzd,delta_site_cost_future_nzd,delta_upgrade_cost_nzd,delta_system_cost_future_nzd
28,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt4_N_plus150MW,fonterra_opt3_N_plus97MW,6427885.653032374,4790917.440060129,0.0,0.0,0.0,0.0,6427885.653032374,4790917.440060129,97427885.65303354,81622223.88131544,1.0339961540917586,0.9577669685458008,1.640077600325481,94093650.02235119,78657294.87918502,100521535.67538357,83448212.31924514,BB,83448212.31924514,17073323.356138423,0.0,15436355.14316617,1636968.2129722442,17073323.356138423
29,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt3_N_plus97MW,fonterra_opt3_N_plus97MW,4437631.116784267,4437631.116784267,0.0,0.0,0.0,0.0,4437631.116784267,4437631.116784267,95437631.11678544,81268937.55803958,0.7566787285094805,1.4912157759765157,1.3346928162094711,68857764.29436389,66640400.978586756,73295395.41114816,71078032.09537102,BB,71078032.09537102,2217363.315777138,0.0,2217363.3157771304,0.0,2217363.315777138
30,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt3_N_plus97MW,fonterra_opt3_N_plus97MW,6997514.564797379,6997514.564797379,0.0002021709450093,0.0,165.9125049807696,0.0,8656639.614605075,6997514.564797379,99656639.61460623,83828821.0060527,1.039916928414098,1.3991888838449442,1.503787912531323,94632440.4856841,84083746.41581316,103289080.10028917,91081260.98061055,BB,91081260.98061055,12207819.119678617,0.0,10548694.069870934,0.0,12207819.119678617
31,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt3_N_plus97MW,fonterra_opt3_N_plus97MW,5128098.408611073,5128098.408611073,0.0,0.0,0.0,0.0,5128098.408611073,5128098.408611073,96128098.40861224,81959404.84986639,0.8543976768541816,1.2279875180561783,1.2274487147937885,77750188.59373169,69981024.11966778,82878287.00234276,75109122.52827886,BB,75109122.52827886,7769164.474063903,0.0,7769164.474063903,0.0,7769164.474063903
32,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt3_N_plus97MW,fonterra_opt3_N_plus97MW,4831229.046497345,4831229.046497345,0.0002185164900353,0.0,181.85736906156043,0.0,5740515.891805147,4831229.046497345,96740515.8918063,81662535.48775266,0.7762443673254118,1.1398653295500785,1.2874585356287194,70638237.42661363,63882153.07928649,76378753.31841877,68713382.12578383,BB,68713382.12578383,7665371.19263494,0.0,6756084.3473271355,0.0,7665371.19263494
33,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt3_N_plus97MW,fonterra_opt3_N_plus97MW,5698892.977396003,5698892.977396003,0.0,0.0,0.0,0.0,5698892.977396003,5698892.977396003,96698892.97739716,82530199.41865131,1.2380935954784833,1.3262195931604357,1.2196290834370087,112666517.18854314,96131863.00559326,118365410.16593914,101830755.98298925,BB,101830755.98298925,16534654.182949886,0.0,16534654.182949886,0.0,16534654.182949886
34,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt4_N_plus150MW,fonterra_opt3_N_plus97MW,8809193.28393899,6565785.394295862,0.0,0.0,0.0,0.0,8809193.28393899,6565785.394295862,99809193.28394015,83397091.83555117,1.2582386143482296,2.1554019502928665,1.0172953573721415,114499713.90569006,106921403.81875049,123308907.18962905,113487189.21304634,BB,113487189.21304634,9821717.976582706,0.0,7578310.086939573,2243407.889643129,9821717.976582706
35,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt3_N_plus97MW,fonterra_opt3_N_plus97MW,7160614.301347707,7160614.301347707,0.0,0.0,0.0,0.0,7160614.301347707,7160614.301347707,98160614.30134887,83991920.74260302,1.133337475064406,1.3135186889812258,1.422888692117202,103133710.23086211,89183183.99364126,110294324.53220981,96343798.29498896,BB,96343798.29498896,13950526.237220854,0.0,13950526.237220854,0.0,13950526.237220854
36,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt3_N_plus97MW,fonterra_opt3_N_plus97MW,5834373.351391522,5834373.351391522,1.225494642050265e-05,0.0,9.975972020704448,0.0,5934133.071598567,5834373.351391522,96934133.07159972,82665679.79264684,0.9231856025625724,1.4995423513342514,1.0709826884976938,84009889.83319525,77557767.50277278,89944022.90479383,83392140.8541643,BB,83392140.8541643,6551882.050629526,0.0,6452122.330422476,0.0,6551882.050629526
37,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt3_N_plus97MW,fonterra_opt3_N_plus97MW,5888932.808741331,5888932.808741331,0.0,0.0,0.0,0.0,5888932.808741331,5888932.808741331,96888932.8087425,82720239.24999665,0.8046921715264352,1.7140479877893116,0.8763926170748779,73226987.60890678,72259910.80699326,79115920.4176481,78148843.61573459,BB,78148843.61573459,967076.8019135147,0.0,967076.8019135147,0.0,967076.8019135147
