epoch_tag,strategy_id,strategy_label,future_id,selected_upgrade_name,selected_capacity_MW,annualised_upgrade_cost_nzd,annual_incremental_MWh,annual_shed_MWh,shed_fraction,annual_shed_cost_nzd,total_cost_nzd,n_hours_binding,unserved_peak_MW
2035_EB,S_AUTO,Auto-select upgrade (min cost),31,fonterra_opt3_N_plus97MW,97.0,5128098.408611073,790045.4545454546,0.0,0.0,0.0,5128098.408611073,0,0.0
2035_EB,S_AUTO,Auto-select upgrade (min cost),32,fonterra_opt3_N_plus97MW,97.0,4831229.046497345,832236.3636363635,181.85736906156043,0.00021851649003530084,909286.8453078022,5740515.891805147,125,5.8741117526712685
2035_EB,S_AUTO,Auto-select upgrade (min cost),33,fonterra_opt3_N_plus97MW,97.0,5698892.977396003,780945.4545454545,0.0,0.0,0.0,5698892.977396003,0,0.0
2035_EB,S_AUTO,Auto-select upgrade (min cost),34,fonterra_opt4_N_plus150MW,150.0,8809193.28393899,884354.5454545454,0.0,0.0,0.0,8809193.28393899,0,0.0
2035_EB,S_AUTO,Auto-select upgrade (min cost),35,fonterra_opt3_N_plus97MW,97.0,7160614.301347707,800800.0,0.0,0.0,0.0,7160614.301347707,0,0.0
2035_EB,S_AUTO,Auto-select upgrade (min cost),36,fonterra_opt3_N_plus97MW,97.0,5834373.351391522,814036.3636363635,9.975972020704447,1.225494642050265e-05,99759.72020704446,5934133.071598567,10,2.2068625964025443
2035_EB,S_AUTO,Auto-select upgrade (min cost),37,fonterra_opt3_N_plus97MW,97.0,5888932.808741331,792527.2727272727,0.0,0.0,0.0,5888932.808741331,0,0.0
2035_EB,S_AUTO,Auto-select upgrade (min cost),38,fonterra_opt4_N_plus150MW,150.0,7722299.6102895485,847954.5454545454,0.0,0.0,0.0,7722299.6102895485,0,0.0
2035_EB,S_AUTO,Auto-select upgrade (min cost),39,fonterra_opt3_N_plus97MW,97.0,6714603.735846695,740409.0909090908,0.0,0.0,0.0,6714603.735846695,0,0.0
2035_EB,S_AUTO,Auto-select upgrade (min cost),40,fonterra_opt3_N_plus97MW,97.0,5639587.031749237,783427.2727272726,0.0,0.0,0.0,5639587.031749237,0,0.0
2035_EB,S_AUTO,Auto-select upgrade (min cost),41,fonterra_opt4_N_plus150MW,150.0,7200157.2441334035,919927.2727272727,0.0,0.0,0.0,7200157.2441334035,0,0.0
2035_EB,S_AUTO,Auto-select upgrade (min cost),42,fonterra_opt3_N_plus97MW,97.0,4861947.044079939,788390.9090909091,0.0,0.0,0.0,4861947.044079939,0,0.0
2035_EB,S_AUTO,Auto-select upgrade (min cost),43,fonterra_opt3_N_plus97MW,97.0,4260631.54922298,772672.7272727273,0.0,0.0,0.0,4260631.54922298,0,0.0
2035_EB,S_AUTO,Auto-select upgrade (min cost),44,fonterra_opt3_N_plus97MW,97.0,6394249.319889109,764400.0,0.0,0.0,0.0,6394249.319889109,0,0.0
2035_EB,S_AUTO,Auto-select upgrade (min cost),45,fonterra_opt4_N_plus150MW,150.0,7236156.005107321,846299.9999999998,0.0,0.0,0.0,7236156.005107321,0,0.0
2035_EB,S_AUTO,Auto-select upgrade (min cost),46,fonterra_opt4_N_plus150MW,150.0,8672050.324879427,914136.3636363635,0.0,0.0,0.0,8672050.324879427,0,0.0
2035_EB,S_AUTO,Auto-select upgrade (min cost),47,fonterra_opt4_N_plus150MW,150.0,7068578.087949788,853745.4545454546,0.0,0.0,0.0,7068578.087949788,0,0.0
2035_EB,S_AUTO,Auto-select upgrade (min cost),48,fonterra_opt4_N_plus150MW,150.0,7745758.71847227,866154.5454545454,0.0,0.0,0.0,7745758.71847227,0,0.0
2035_EB,S_AUTO,Auto-select upgrade (min cost),49,fonterra_opt4_N_plus150MW,150.0,7413483.235089951,855399.9999999999,0.0,0.0,0.0,7413483.235089951,0,0.0
2035_EB,S_AUTO,Auto-select upgrade (min cost),50,fonterra_opt3_N_plus97MW,97.0,4831895.735224568,823963.6363636362,52.372559905587835,6.356173694353968e-05,523725.59905587835,5355621.334280446,48,4.155835843069383
2035_EB,S_AUTO,Auto-select upgrade (min cost),51,fonterra_opt3_N_plus97MW,97.0,6522001.974864054,812381.8181818181,3.1281483553350142,3.850588830675808e-06,46922.22533002521,6568924.2001940785,5,1.2701787289908566
2035_EB,S_AUTO,Auto-select upgrade (min cost),52,fonterra_opt3_N_plus97MW,97.0,7195177.289891704,842163.6363636362,32.25797975523267,3.8303695816787864e-05,322579.7975523267,7517757.087444031,28,3.5518664907397977
2035_EB,S_AUTO,Auto-select upgrade (min cost),53,fonterra_opt3_N_plus97MW,97.0,7204892.496061356,803281.8181818181,31.853514377542908,3.965422054446781e-05,159267.57188771453,7364160.067949071,28,3.5489256901267368
2035_EB,S_AUTO,Auto-select upgrade (min cost),54,fonterra_opt4_N_plus150MW,150.0,7220404.08594386,868636.3636363635,0.0,0.0,0.0,7220404.08594386,0,0.0
2035_EB,S_AUTO,Auto-select upgrade (min cost),55,fonterra_opt4_N_plus150MW,150.0,7183854.007799224,909172.7272727272,0.0,0.0,0.0,7183854.007799224,0,0.0
2035_EB,S_AUTO,Auto-select upgrade (min cost),56,fonterra_opt3_N_plus97MW,97.0,4968919.137217683,734618.1818181818,0.0,0.0,0.0,4968919.137217683,0,0.0
2035_EB,S_AUTO,Auto-select upgrade (min cost),57,fonterra_opt3_N_plus97MW,97.0,8361425.524347071,775981.8181818181,0.0,0.0,0.0,8361425.524347071,0,0.0
2035_EB,S_AUTO,Auto-select upgrade (min cost),58,fonterra_opt4_N_plus150MW,150.0,9959375.918513047,838854.5454545454,0.0,0.0,0.0,9959375.918513047,0,0.0
2035_EB,S_AUTO,Auto-select upgrade (min cost),59,fonterra_opt4_N_plus150MW,150.0,7899368.058743064,887663.6363636364,0.0,0.0,0.0,7899368.058743064,0,0.0
2035_EB,S_AUTO,Auto-select upgrade (min cost),60,fonterra_opt4_N_plus150MW,150.0,8430427.136282811,900900.0,0.0,0.0,0.0,8430427.136282811,0,0.0
2035_EB,S_AUTO,Auto-select upgrade (min cost),61,fonterra_opt3_N_plus97MW,97.0,6117602.849167797,837200.0,29.692188150269402,3.546606324685786e-05,445382.82225404104,6562985.671421838,26,3.459863030339932
2035_EB,S_AUTO,Auto-select upgrade (min cost),62,fonterra_opt3_N_plus97MW,97.0,8961051.235826228,804936.3636363635,68.9703391680558,8.568421341592378e-05,689703.391680558,9650754.627506785,57,4.485609557538453
2035_EB,S_AUTO,Auto-select upgrade (min cost),63,fonterra_opt3_N_plus97MW,97.0,6337442.408716713,795009.0909090908,2.369341443957495,2.9802696233928082e-06,23693.41443957495,6361135.823156288,3,1.1246632501780311
2035_EB,S_AUTO,Auto-select upgrade (min cost),64,fonterra_opt3_N_plus97MW,97.0,5835564.166476622,827272.7272727272,84.07731011828535,0.00010163191332979549,840773.1011828536,6676337.267659476,62,4.758427823268505
2035_EB,S_AUTO,Auto-select upgrade (min cost),65,fonterra_opt4_N_plus150MW,150.0,6047032.376087033,833890.909090909,0.0,0.0,0.0,6047032.376087033,0,0.0
2035_EB,S_AUTO,Auto-select upgrade (min cost),66,fonterra_opt4_N_plus150MW,150.0,10403585.664607985,905036.3636363635,0.0,0.0,0.0,10403585.664607985,0,0.0
2035_EB,S_AUTO,Auto-select upgrade (min cost),67,fonterra_opt4_N_plus150MW,150.0,9361500.575293161,822309.0909090908,0.0,0.0,0.0,9361500.575293161,0,0.0
2035_EB,S_AUTO,Auto-select upgrade (min cost),68,fonterra_opt3_N_plus97MW,97.0,5576587.043532141,799145.4545454545,0.34238252192258756,4.2843579973476937e-07,6847.650438451751,5583434.693970593,1,0.34238252192258756
2035_EB,S_AUTO,Auto-select upgrade (min cost),69,fonterra_opt3_N_plus97MW,97.0,5364387.1497756755,796663.6363636364,0.0,0.0,0.0,5364387.1497756755,0,0.0
2035_EB,S_AUTO,Auto-select upgrade (min cost),70,fonterra_opt4_N_plus150MW,150.0,6217485.018491897,840509.0909090908,0.0,0.0,0.0,6217485.018491897,0,0.0
2035_EB,S_AUTO,Auto-select upgrade (min cost),71,fonterra_opt4_N_plus150MW,150.0,6912470.943354502,873600.0,0.0,0.0,0.0,6912470.943354502,0,0.0
2035_EB,S_AUTO,Auto-select upgrade (min cost),72,fonterra_opt3_N_plus97MW,97.0,6706787.963597997,817345.4545454545,0.0,0.0,0.0,6706787.963597997,0,0.0
2035_EB,S_AUTO,Auto-select upgrade (min cost),73,fonterra_opt3_N_plus97MW,97.0,6674573.061137301,770190.9090909091,0.0,0.0,0.0,6674573.061137301,0,0.0
2035_EB,S_AUTO,Auto-select upgrade (min cost),74,fonterra_opt4_N_plus150MW,150.0,7142460.214511822,881872.7272727273,0.0,0.0,0.0,7142460.214511822,0,0.0
2035_EB,S_AUTO,Auto-select upgrade (min cost),75,fonterra_opt4_N_plus150MW,150.0,8358598.384897441,897590.909090909,0.0,0.0,0.0,8358598.384897441,0,0.0
2035_EB,S_AUTO,Auto-select upgrade (min cost),76,fonterra_opt3_N_plus97MW,97.0,6245372.276186194,753645.4545454546,0.0,0.0,0.0,6245372.276186194,0,0.0
2035_EB,S_AUTO,Auto-select upgrade (min cost),77,fonterra_opt3_N_plus97MW,97.0,4862525.679579037,806590.909090909,1.5254885929608406,1.891279179776754e-06,15254.885929608407,4877780.565508646,3,0.8333809776958105
2035_EB,S_AUTO,Auto-select upgrade (min cost),78,fonterra_opt4_N_plus150MW,150.0,8689591.212005021,927372.7272727273,0.0,0.0,0.0,8689591.212005021,0,0.0
2035_EB,S_AUTO,Auto-select upgrade (min cost),79,fonterra_opt4_N_plus150MW,150.0,6588802.7586579295,859536.3636363635,0.0,0.0,0.0,6588802.7586579295,0,0.0
2035_EB,S_AUTO,Auto-select upgrade (min cost),80,fonterra_opt3_N_plus97MW,97.0,5224340.586950312,825618.1818181818,4.314125102356044,5.225327151656774e-06,64711.87653534066,5289052.463485653,6,1.4213897526775838
2035_EB,S_AUTO,Auto-select upgrade (min cost),81,fonterra_opt3_N_plus97MW,97.0,6243917.301416721,830581.8181818182,51.30781542195679,6.177334285293164e-05,769617.2313293519,7013534.532746073,45,4.1255433753607065
2035_EB,S_AUTO,Auto-select upgrade (min cost),82,fonterra_opt3_N_plus97MW,97.0,5183165.220275311,745372.7272727273,0.0,0.0,0.0,5183165.220275311,0,0.0
2035_EB,S_AUTO,Auto-select upgrade (min cost),83,fonterra_opt4_N_plus150MW,150.0,8818290.01725589,862018.1818181819,0.0,0.0,0.0,8818290.01725589,0,0.0
2035_EB,S_AUTO,Auto-select upgrade (min cost),84,fonterra_opt3_N_plus97MW,97.0,5662183.167290133,815690.909090909,0.1784030363576221,2.1871401822591485e-07,892.0151817881106,5663075.182471922,1,0.1784030363576221
2035_EB,S_AUTO,Auto-select upgrade (min cost),85,fonterra_opt4_N_plus150MW,150.0,8977480.037458882,878563.6363636364,0.0,0.0,0.0,8977480.037458882,0,0.0
